Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,search terms,Comments,Project Targets/metrics
Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,1/15/10,9/30/13,Storage,https://scholar.google.com/citations?hl=en&user=WaH-1TwAAAAJ&view_op=list_works&sortby=pubdate,https://www.forbes.com/sites/aalsin/2018/08/24/qa-mit-professor-donald-sadoway-on-the-future-of-battery-storage-and-renewable-energies/#12ac361b2c62,,Electroville: Grid-Scale Batteries,Pivot,Donald Sadoway; liquid metal electrodes; ,"No commercialization to date?; Dec 2018 description of pivot from grid to mobile (Marine) application (https://www.maritime-executive.com/editorials/molten-metal-energy-storage-for-future-maritime-propulsion); 2014 Nature report on Sadoway's work, showing pivot to different type of liquid metal electrode(?) : https://www.nature.com/news/liquid-metal-batteries-get-boost-from-molten-lead-1.15967 ",
Phononic Devices,ALUMNI,For-profit,12/11/09,3/30/12,Storage,https://phononic.com/,https://arpa-e.energy.gov/?q=impact-sheet/phononic-devices-open-2009,,Improved Thermoelectric Devices,Persist,Phononic; waste heat thermoelectric; ,No mention of waste heat conversion on products page; Article on thermoelectric waste heat market lists Phononic as major player in 2018 https://www.globenewswire.com/news-release/2018/11/23/1655916/0/en/Global-Thermoelectric-Generators-Market-2018-2024-Opportunities-in-the-Increase-In-The-Demand-For-Thermoelectric-Generators-In-Medical-Devices-Growing-Industrial-Automation-Across-.html ,
"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,2/1/11,9/30/16,Storage,http://wirzresearchgroup.com/publications,,,Cost-Effective Solar Thermal Energy Storage,Pivot,Richard Wirz; supercritical fluid-based thermal energy storage solar,"Current focus on low temp systems, supercritical not mentioned in 2018 review article (http://www.wirz.seas.ucla.edu/sites/default/files/publications/nithyanandam2018heat-transfer-behavior-of-elemental-sulfur-for-low-temperature-thermalenergy-storage.pdf), and only on group page in old ARPAe research project description (http://wirzresearchgroup.com/solar)",
EaglePicher Technologies,CANCELLED,For-profit,2/1/10,3/31/16,Storage,https://www.eaglepicher.com/,,,Sodium-Beta Batteries for Grid-Scale Storage,Perish,EaglePicher; Na-beta battery;,"?? Na-beta batteries not on product list; grid storage not on website; 2014 did receive follow-on funding from ARPAe (https://www.prnewswire.com/news-releases/eaglepicher-technologies-continues-development-of-sodium-beta-battery-with-arpa-e-for-grid-scale-energy-storage-applications-254716941.html) ""This project could help establish a viable U.S. Na-Beta manufacturing industry. By 2013, the market for energy storage batteries is projected to exceed $1 billion, with the market for Na-Beta approaching $700 million.",
Alveo Energy,ALUMNI,For-profit,2/21/13,3/31/16,Storage,https://natron.energy/,,,Prussian Blue Dye Batteries,Persist,Alveo Energy; grid-scale storage battery; Prussian Blue dye ,Chevron invested in Natron 2019; Natron was founded as Alveo Energy in 2012 as a spin-out from research originally performed at Stanford University.(https://www.greencarcongress.com/2019/01/20190128-natron.html),
Harvard University,ALUMNI,Non-profit,2/1/13,3/25/17,Storage,https://arpa-e.energy.gov/?q=impact-sheet/harvard-flow-battery-open-2012,,,Organic Flow Battery for Energy Storage,Persist,Michael Aziz,"Still reporting research progress, but still seems a long way off from commercializable solution (https://www.sciencedaily.com/releases/2019/05/190528193015.htm)",
PolyPlus Battery Company,ALUMNI,For-profit,2/6/13,3/31/16,Storage,http://polyplus.com/,,,"Low-Cost, High-Performance Lithium-Sulfur Batteries",Persist,PolyPlus,"In co's pipeline, but at bottom of 4 chemistries (http://polyplus.com/product-pipeline/#product-5)",
Sharp Laboratories of America,ALUMNI,For-profit,3/28/13,3/27/16,Storage,http://www.sharplabs.com/index.php/item/101-energy,,,Sodium-Based Energy Storage,Persist,,"Low energy density as compared to LIB's keeps this tech in 'infancy' stage, assessment by a champion of NIB's (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5989704/)",
Teledyne Scientific & Imaging,ALUMNI,For-profit,2/4/13,1/31/14,Storage,http://www.teledyne-si.com/research-and-development/materials,,,High Energy Density Potassium-Based Flow Battery,Perish,,No evidence that Teledyne is continuing to pursue KIB's,
United Technologies Research Center (UTRC),ALUMNI,For-profit,2/12/13,3/31/16,Manufacturing Efficiency,,,,Additive Manufacturing for Electric Vehicle Motors,Persist,,"UT still active in additive manufacturing, but hard to track if specific to this applicaiton",
University of Delaware (UD),ALUMNI,Non-profit,1/9/13,3/6/17,Storage,https://scholar.google.com/citations?hl=en&user=Uyqti04AAAAJ&view_op=list_works&sortby=pubdate,,,High-Storage Double-Membrane Flow Battery,Persist,,patents filed and still publishing on topic; no evidence of commercial product?,
University of Southern California (USC),ALUMNI,Non-profit,3/1/13,3/19/18,Storage,https://patents.google.com/patent/US20170187060A1/en,,,"Inexpensive, Metal-free, Organic Flow Battery",Persist,,developed lab scale based on quinones (https://www.betterworldsolutions.eu/new-organic-battery-for-almost-every-renewable-energy-power-facility/),
Boston Electrometallurgical Corporation,ALUMNI,For-profit,5/5/16,7/31/18,Manufacturing Efficiency,https://www.bostonmetal.com/,,,High-Efficiency Titanium Production,Persist,Donald Sadoway spinout,received SeriesA in 2019 to scale lab to pilot (https://www.bizjournals.com/boston/news/2019/01/10/boston-metal-raises-20m-from-billionaires-energy.html),
Gas Technology Institute (GTI),ALUMNI,For-profit,3/1/16,2/28/18,Manufacturing Efficiency,,,,Reactor Engine,Persist,,couldn't trace specific technology,
Battelle Memorial Institute,ALUMNI,Non-profit,11/1/12,9/30/14,Storage,https://www.greencarcongress.com/2015/02/20150205-battellectc.html,https://patentimages.storage.googleapis.com/f2/c8/de/d09b0c4487cc99/US10177421.pdf,https://patentimages.storage.googleapis.com/69/57/b3/48cc5fa52ebece/US20150155605A1.pdf,Optical Fault Sensors for Lithium-Ion Batteries,Persist,,"looking to license their technology, seems like it would be too expensive to implement (https://www.battelle.org/docs/default-source/commercial-offerings/industry-solutions/battery-separator-technology.pdf?sfvrsn=f8d472b2_2)",
Det Norske Veritas (DNV KEMA),ALUMNI,For-profit,10/1/12,4/1/15,Storage,https://liiontamer.com/,,,Gas-Based Battery Monitoring System,Perish,,couldn't find any followup,
Eaton Corporation,ALUMNI,For-profit,1/1/13,3/31/16,Storage,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7525132,,Advanced Battery Management for Hybrid Vehicles,Pivot,,BMS for UPS instead of EV 'Cellwatch is a state-of-the-art battery monitoring system designed specifically for large (three-phase)',
Ford Motor Company,ALUMNI,For-profit,1/1/13,3/31/16,Storage,https://arpa-e.energy.gov/sites/default/files/FORD_AMPED_External_ProjectImpactSheet_FINAL.pdf,,,Ultra-Precise Battery Tester,Persist,,"Commercialized system (Ford, Airbin, Sandia) https://www.arbin.com/lightsaber-battery-analysis/ ",
General Electric (GE) Global Research,ALUMNI,For-profit,1/1/13,12/31/16,Storage,https://arpa-e.energy.gov/sites/default/files/documents/files/GE_AMPED_ImpactSheet_20170130_FINAL.pdf,,,Thin-Film Temperature Sensors for Batteries,Persist,,Amphenol Advanced Sensors Transportation Sensor Applications,
Lawrence Livermore National Laboratory (LLNL),ALUMNI,Non-profit,10/1/12,9/30/15,Storage,https://e-reports-ext.llnl.gov/pdf/764593.pdf,https://www.llnl.gov/news/lab-wins-two-regional-flc-awards,https://patentimages.storage.googleapis.com/fc/22/50/51ffb31b36360d/US9869726.pdf,Wireless Sensor System for Battery Packs,Persist,John Chang llnl,"Still at it, working with yardney: https://arpa-e.energy.gov/sites/default/files/LLNL_P1195464pstr-Chang.pdf",
Oak Ridge National Laboratory (ORNL),ALUMNI,Non-profit,10/1/12,2/15/15,Storage,https://patentimages.storage.googleapis.com/6d/9d/98/f7e597c9d67198/US9666907.pdf,,,Temperature-Regulated Batteries,Persist,,Patent but not clear if still on commercial path,
Palo Alto Research Center (PARC),ALUMNI,For-profit,10/1/12,3/6/17,Storage,https://arpa-e.energy.gov/sites/default/files/PARC_AMPED_External_ImpactSheet_FINAL.pdf,,,Embedded Fiber Optic Sensing System for Battery Packs,Persist,,The LG RESU batteries have built-in sensors to monitor cell temperature - https://www.cleanenergyreviews.info/blog/solar-battery-storage-lg-chem-leads-tesla,
Pennsylvania State University (Penn State),ALUMNI,Non-profit,1/1/13,3/31/16,Storage,https://scholar.google.com/citations?hl=en&user=Fhll23AAAAAJ&view_op=list_works&sortby=pubdate,,,Reconfigurable Battery Packs,Persist,Fathy at PSU,Continuing to publish in space but didn't find commercialization,
Robert Bosch,ALUMNI,For-profit,1/1/13,3/6/17,Storage,http://jacobsschool.ucsd.edu/news/news_releases/release.sfe?id=1271,https://patents.google.com/patent/US20170222449A1/en,https://www.greencarcongress.com/2019/07/20190710-bosch.html,Battery Management and Control Software,Persist,,"Cobosys adaptive battery control, EU patents filed, ",
Southwest Research Institute (SwRI),ALUMNI,Non-profit,10/1/12,2/15/15,Storage,https://patentimages.storage.googleapis.com/67/fa/80/be3c478dc9f054/US9660299.pdf,,,Sensor Technology for Lithium-Ion Batteries,Persist,,"Patent, but no clear commercialization found, still very active in this are",
University of Washington (UW),ALUMNI,Non-profit,1/1/13,12/31/18,Storage,http://depts.washington.edu/maple/index.html,,,Optimal Battery Management System,Persist,,"Research continues, but commercialized--still trying",
Utah State University (USU),ALUMNI,Non-profit,1/1/13,4/6/17,Storage,https://arpa-e.energy.gov/sites/default/files/documents/files/AMPED_USU_ExternalProjectImpactSheet__FINAL.pdf,,,Dynamic Cell-Level Control for Battery Packs,Perish,,USU successful project but didn't find recent threads,
Gayle Technologies,CANCELLED,For-profit,10/1/12,12/31/14,Storage,Website doesn't work,,,"Laser-Guided, Ultrasonic Battery Monitoring",Perish,,Small grant,
ABB,ALUMNI,For-profit,10/1/10,6/30/14,Storage,https://library.e.abb.com/public/7da6dcc5fc3549f398a3e55d76e0ce68/Energy_Storage_Modules_Presentation.pdf?x-sign=FFg4Jxqei/Icf/N4X/+wZQW/5rxThFP6GqTSHi5ewSRjoYcK3/SL9wb3SNig0WNi,https://www.sandia.gov/ess-ssl/docs/pr_conferences/2014/Thursday/PosterSession8/06_Ramanan_V_Superconducting_Magnet_poster.pdf,,Magnetic Energy Storage System,Persist,,ABB is still in the game,
City University of New York (CUNY) Energy Institute,ALUMNI,Non-profit,9/15/10,3/31/15,Storage,https://arpa-e.energy.gov/?q=impact-sheet/city-university-new-york-grids,,,Flow-Assisted Alkaline Battery,Persist,,https://www.urbanelectricpower.com/,
Energy Storage Systems (ESS),ALUMNI,For-profit,10/1/12,8/30/17,Storage,https://www.essinc.com/energy-storage-products/,,,Iron Flow Battery,Persist,,Commercial ,
Fluidic Energy,ALUMNI,For-profit,10/1/10,3/31/13,Storage,https://nantenergy.com/,,,High-Power Zinc-Air Energy Storage,Persist,,Visiting columbia in November,
General Atomics,ALUMNI,For-profit,9/1/10,8/28/13,Storage,http://www.ga.com/battery-and-fuel-cell-systems,,,Soluble Lead Flow Battery,Pivot,,General Atomics not in grid storage or flow batteries,
General Compression,ALUMNI,For-profit,9/13/10,4/1/11,Storage,Website doesn't work,https://www.greentechmedia.com/articles/read/sustainx-to-merge-with-general-compression-abandon-above-ground-caes-ambiti#gs.7da6a3,,Fuel-Free Compressed-Air Energy Storage,Perish,,Out of business? Compressed Air Energy Storage - using wind power,
ITN Energy Systems,ALUMNI,For-profit,10/1/12,6/30/15,Storage,http://www.itnes.com/,http://www.storionenergy.com/,,Advanced Vanadium Redox Flow Battery,Persist,,Is ITN still working on V-SO4 flow batteries?,
Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,10/1/10,9/30/13,Storage,https://www.anl.gov/profile/venkat-srinivasan,,,Hydrogen-Bromine Flow Battery,Perish,,"Can't find TVN Systems with HBr beyond ARPAe, but H-Br Flow still allive https://www.innoenergy.com/news-events/koolen-industries-invests-in-hydrogen-bromine-flow-battery-maker-elestor/",
"Materials & Systems Research, Inc. (MSRI)",ALUMNI,For-profit,10/1/12,6/30/16,Storage,Website doesn't work,,,Advanced Sodium Battery,Perish,,Can't find MSRI with Sodium batteries beyond ARPAe,
Primus Power,ALUMNI,For-profit,9/1/10,12/31/12,Storage,http://www.primuspower.com/en/,,,Advanced Flow Battery Electrodes,Persist,,,
Proton Energy Systems,ALUMNI,For-profit,9/1/10,3/31/14,Storage,https://www.protononsite.com/,https://nelhydrogen.com/market/energy-storage/#related-products,,Regenerative Fuel Cells,Persist,,DOE new funding in Aug 2019 https://fuelcellsworks.com/news/fuel-cell-energy-and-proton-power-receive-2m-in-us-doe-funding/,
The Boeing Company,ALUMNI,For-profit,10/1/10,9/30/13,Storage,http://www.boeing.com/,,,Advanced Flywheel Composite Rotors,Persist,,Boeing still in this space,
TVN Systems,ALUMNI,For-profit,10/1/12,6/30/15,Storage,Website doesn't work,,,Hydrogen Bromine Battery,Perish,,See above - same project? TVN\,
United Technologies Research Center (UTRC),ALUMNI,For-profit,9/9/10,9/30/13,Storage,https://www.vionxenergy.com/products/,https://arpa-e.energy.gov/?q=impact-sheet/utrc-grids,https://arpa-e.energy.gov/?q=slick-sheet-project/high-performance-transportation-redox-air-flow-cells,Breakthrough Flow Battery Cell Stack,Persist,,Vionx commercialized technology,
University of Southern California (USC),ALUMNI,Non-profit,10/1/10,9/30/13,Storage,http://chem.usc.edu/faculty/Narayan.html,https://patents.google.com/patent/US8758948B2/en,,Iron-Air Rechargeable Battery,Persist,,,
Beacon Power,CANCELLED,For-profit,3/6/12,10/31/15,Storage,N/A,https://www.greentechmedia.com/articles/read/beacon-powers-bankruptcy-autopsy#gs.6ow2yj,,Next-Generation Flywheel Energy Storage,Perish,,,
Abengoa Solar,ALUMNI,For-profit,1/11/12,7/31/14,Storage,https://www.energy.gov/eere/solar/concentrating-solar-power-advanced-projects-offering-low-lcoe-opportunities-csp-apollo,,,Conversion Tower for Dispatchable Solar Power,Persist,,,
Halotechnics,ALUMNI,For-profit,1/1/12,9/30/15,Storage,Website doesn't work,https://arpa-e.energy.gov/sites/default/files/1h_Raade%20ARPA-E%20LDS%20presentation%202017-12-07.pdf,,Molten Glass for Thermal Storage,Perish,,can't find Halotecnics in 2019,
Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,11/21/11,11/30/14,Storage,https://scholar.google.com/citations?hl=en&user=YLB6tnwAAAAJ&view_op=list_works&sortby=pubdate,https://www.cell.com/joule/pdf/S2542-4351(18)30184-3.pdf,,Efficient Heat Storage Materials,Persist,,"MIT academic, no commercialization found",
Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,12/13/11,9/30/16,Storage,https://arpa-e.energy.gov/sites/default/files/documents/files/MIT_HEATS_ExternalImpactSheet_FINAL.pdf,,,Advanced Thermo-Adsorptive Battery,Persist,,"MIT persists, but did ATB demo at Ford ever happen?",
Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,1/9/12,1/8/15,Storage,http://www.rle.mit.edu/gg/publications/#1520962929666-b8e3e30b-ff5e,https://www.nature.com/articles/s41467-017-01608-y.pdf,,Solar Thermal Energy Storage Device,Persist,,Lots of coverage by MIT still...,
NAVITASMAX,ALUMNI,For-profit,12/1/11,8/30/13,Storage,http://www.navitasmax.com/partners,https://www.sciencedirect.com/science/article/pii/S0896844616301292,,Advanced Thermal Energy Storage Technology,Persist,,Wow - cult?!,
Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,12/5/11,4/30/14,Storage,http://newenergyupdate.com/csp-today/technology/sunshot-explores-chemistry-cut-csp-storage-costs-elements-awards,,,Metal Hydride Thermal Storage,Persist,,Do these National Lab efforts ever perish?; No commercial ,
Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,11/21/11,1/4/14,Storage,https://www.pnnl.gov/news/release.aspx?id=4440,https://www.tandfonline.com/doi/full/10.1080/01457632.2016.1242965,,Efficient Heat Pump for Electric Vehicles,Pivot,,"Pivot to chillers, but no evidence of commercialization",
University of Minnesota (UMN),ALUMNI,Non-profit,12/19/11,6/18/15,Storage,https://pubs.acs.org/doi/abs/10.1021/acs.energyfuels.6b01265,,,Solar Thermochemical Fuels Production,Persist,Jane Davidson,U Minn still working on it; Solar Fuels Corp of U. Florida running on fumes,
University of South Florida (USF),ALUMNI,Non-profit,12/13/11,9/30/15,Storage,https://www.usf.edu/engineering/cerc/research/pcm.aspx,https://www.sciencedirect.com/science/article/pii/S0306261918304847,,Efficient Phase-Change Materials,Persist,,,
Citrine Informatics,ALUMNI,For-profit,12/22/15,3/21/17,Storage,https://pubs.rsc.org/en/content/articlelanding/2018/me/c8me00012c#!divAbstract,,,Machine Learning for Solid Ion Conductors,Persist,,,
Colorado School of Mines,ALUMNI,Non-profit,9/27/16,7/31/18,Storage,https://pubs.acs.org/doi/pdf/10.1021/acssuschemeng.8b06065?rand=dzfsjqee,,,Ammonia Synthesis Membrane Reactor,Persist,,,
Georgia Tech Research Corporation,ALUMNI,Non-profit,7/27/16,12/31/17,Manufacturing Efficiency,https://patents.google.com/patent/US20180326398A1/en,,,Hollow Fibers for Separations,Persist,,hollow fiber membrane that can be used for low-energy chemical separatio,
Johns Hopkins University,ALUMNI,Non-profit,10/1/15,3/31/17,Manufacturing Efficiency,https://patents.google.com/patent/US9776860B2/en,https://arpa-e.energy.gov/?q=slick-sheet-project/more-information-johns-hopkinss-project-coming-soon,,Carbon Fiber from Methane,Persist,,just starting up,
Ricardo,ALUMNI,For-Profit,1/1/15,9/30/15,Manufacturing Efficiency,https://paperpile.com/app/p/da1628d3-457d-01d1-860e-28d89b5e6bac,https://paperpile.com/app/p/c50e91b4-a8f1-0169-aeae-584f472532bf,,Reducing Automotive CAPEX Entry Barriers,Persist,,https://automotive.ricardo.com/,
United Technologies Research Center (UTRC),ALUMNI,For-profit,4/1/17,3/31/18,Manufacturing Efficiency,,,,Design of Ultra-Efficient Thermal-Fluid Components,Persist,,,
United Technologies Research Center (UTRC),ALUMNI,For-profit,7/2/15,7/1/16,Storage,http://ma.ecsdl.org/content/MA2016-02/24/1739.short,,,High Performance Transportation Redox-Air Flow Cells,Pivot,,Pivot from EV to Grid,
"University of California, San Diego (UC San Diego)",ALUMNI,Non-profit,4/1/14,8/31/15,Storage,http://smeng.ucsd.edu/research-ii/,,,Novel Electrolytes,Persist,Shirley Meng,,
University of Maryland (UMD),ALUMNI,Non-profit,4/14/16,4/13/17,Storage,https://pubs.acs.org/doi/pdf/10.1021/acsnano.7b08584?rand=7ezqr0as,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201701169,,Current Collectors for Aqueous Batteries,Persist,,,
University of Maryland (UMD),ALUMNI,Non-profit,7/25/14,10/24/15,Manufacturing Efficiency,https://www.sciencedirect.com/science/article/abs/pii/S1359431116330630,https://arpa-e.energy.gov/?q=slick-sheet-project/advanced-heat-exchangers,,Next-Generation Air-Cooled Heat Exchangers,Persist,,Ended 9/2019; any commercialization?,
University of Tennessee (UT),ALUMNI,Non-profit,11/10/16,3/19/18,Manufacturing Efficiency,http://zgroup.utk.edu/research.html,,,Reversible Air Batteries,Persist,,"Zawodzinski at UT does not appear to be working on air electrodes, at least according to his website, but lots of curent refs to his work in literature;",
American Manufacturing,ALUMNI,For-profit,12/20/16,9/19/18,Storage,https://www.colorado.edu/lab/raj-rishi/publications,,,Flash Sintering System,Persist,,Academic effort ongoing,
Pennsylvania State University (Penn State),ALUMNI,Non-profit,1/1/17,12/31/18,Storage,,https://onlinelibrary.wiley.com/doi/epdf/10.1002/adfm.201807872,,Cold Sintering Composite Structures,Persist,,,
Sila Nanotechnologies,ALUMNI,For-profit,12/1/16,5/31/18,Storage,,https://patents.google.com/patent/US20190198837A1/en,,Melt-Infiltration Solid Electrolyte,Persist,,,
Alcoa,ALUMNI,For-profit,3/31/14,7/20/18,Manufacturing Efficiency,https://arpa-e.energy.gov/sites/default/files/documents/files/Alcoa_METALS_%20ExternalImpactSheet_FINAL.pdf,https://www.nature.com/articles/d41586-018-05158-1,,Aluminum Electrolytic Cell with Heat Recovery,Persist,,biggest ARPA-e win to date?! https://www.lightmetalage.com/news/industry-news/smelting/elysis-starts-construction-on-its-smelting-technology-research-and-development-center/,
BlazeTech,ALUMNI,For-profit,1/1/14,3/31/15,Manufacturing Efficiency,http://www.blazetech.com/index.html,,,Specialized Imaging System for Light Metal Sorting,Perish,,Not part of Blaze Tech's business,
Case Western Reserve University,ALUMNI,Non-profit,1/1/14,6/30/16,Manufacturing Efficiency,http://engineering.case.edu/groups/EMFLab/home,https://patents.google.com/patent/US20150021195A1/en,,Segmented Cell for Electrowinning Titanium,Perish,,No pubs on subject; patent application status abondoned?,
Energy Research Company (ERCo),ALUMNI,For-profit,1/1/14,9/30/18,Manufacturing Efficiency,http://www.er-co.com/,https://arpa-e.energy.gov/?q=impact-sheet/energy-research-company-metals,,Integrated Minimill to Produce Aluminum from Scrap,Persist,,Ended in Sept 2018; just signed with WPI recycling ,
Gas Technology Institute (GTI),ALUMNI,Non-profit,1/1/14,3/31/15,Manufacturing Efficiency,https://www.gti.energy/,,,Membrane Extraction for Aluminum Production,Perish,,Don't see Al processing in their extensive portfolio,
INFINIUM,ALUMNI,For-profit,12/12/13,12/10/16,Manufacturing Efficiency,http://www.infiniummetals.com/,https://patents.google.com/patent/US9206516B2/en,,Aluminum Production Using Zirconia Solid Electrolyte,Persist,,,
Palo Alto Research Center (PARC),ALUMNI,For-profit,12/12/13,5/31/16,Manufacturing Efficiency,https://www.parc.com/blog/parse-developing-the-future-of-u-s-recycling/,https://www.news.xerox.com/news/PARC-awarded-additional-funding-from-ARPA-E-for-aluminum-alloy-detection-unit,https://patents.google.com/patent/US20160245775A1/en,Electrochemical Probe for Rapid Scrap Metal Sorting,Persist,,patent still active,
Phinix,ALUMNI,For-profit,12/3/13,3/1/15,Manufacturing Efficiency,http://www.phinix.net/,https://patents.google.com/patent/US10017867B2/en?inventor=subodh+das&after=priority:20120101,,Electrochemical Magnesium Extraction from Scrap,Persist,,patent still active,
Research Triangle Institute (RTI),ALUMNI,Non-profit,2/6/14,3/6/17,Manufacturing Efficiency,,,,High-Temperature Thermal Storage for Light Metal Production,Perish,,"HOTTS not mentioned in lasat year, not RTI;",
SRI International,ALUMNI,Non-profit,12/10/13,4/30/15,Manufacturing Efficiency,https://www.sri.com/,,,Direct Production of Titanium Powder,Perish,,not part of SRI portfolio of research,
"University of Colorado, Boulder (CU-Boulder)",ALUMNI,Non-profit,1/1/14,6/30/17,Manufacturing Efficiency,https://www.colorado.edu/chbe/2017/07/25/cu-boulder-spinoff-modernizes-magnesium-production,https://www.bigbluetec.com/tech,,Solar/Electric Powered Magnesium Production,Persist,,spinoff,
University of Utah,ALUMNI,Non-profit,1/10/14,3/19/18,Manufacturing Efficiency,,https://arpa-e.energy.gov/?q=impact-sheet/university-utah-edx-metals,,Electromagnetic Light Metal Sorting,Persist,,spinoff EDX Magnetics LLC,
Valparaiso University,ALUMNI,Non-profit,1/1/14,12/29/18,Manufacturing Efficiency,https://paperpile.com/app/p/48c68e37-461a-09cc-ae66-015f526bcf9e,,,Solar/Electrolytic Production of Magnesium from Ore,Persist,,,
iMetalx Group,CANCELLED,For-profit,2/24/14,7/14/14,Manufacturing Efficiency,,,,Advanced Electrowinning of Titanium,Perish,,,
Pacific Northwest National Laboratory (PNNL),CANCELLED,Non-profit,1/1/14,6/30/16,Manufacturing Efficiency,"http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=9,499,880.PN.&OS=PN/9,499,880&RS=PN/9,499,880",https://link.springer.com/article/10.1007%2Fs11837-017-2735-6,,Extracting Magnesium from Seawater,Perish,,,
Titanium Metals Corporation (TIMET),CANCELLED,For-profit,1/13/14,4/30/16,Manufacturing Efficiency,http://www.timet.com/,https://www.prnewswire.com/news-releases/achilles-technology-solutions-llc-acquires-materials-and-electrochemical-research-corporation-300155479.html,,Electrochemical Cell for Advanced Titanium Production,Perish,,,