Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
ADEPT,Georgia Tech Research Corporation,ALUMNI,Non-profit,9/1/10,2/28/14,Electrical Efficiency,"Compact, Low-Profile Power Converters",Perish,"Listed as a past project, nothing listed on georgia tech tech transfer website"
ADEPT,Georgia Tech Research Corporation,ALUMNI,Non-profit,9/1/10,1/31/13,Electrical Efficiency,Utility-Scale Power Router,Pivot,I think this got rolled into Varentec?
ADEPT,HRL Laboratories,ALUMNI,For-profit,10/1/10,6/30/14,Electrical Efficiency,"Compact, Interactive Electric Vehicle Charger",Pivot,"Seems like some of the stuff made it into GM cars, but no bidirectional charging, efficiencies are lower"
ADEPT,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,9/1/10,12/31/13,Electrical Efficiency,Advanced Power Electronics for LED Drivers,Persist,"Hit targets, founded spinoffs"
ADEPT,Teledyne Scientific & Imaging,ALUMNI,For-profit,10/1/10,7/31/13,Electrical Efficiency,Chip-Scale Power Conversion for LED Lighting,Perish,"They definitely aren't doing the applications they specified in the target, seem to be out of the energy technology game"
ADEPT,Transphorm,ALUMNI,For-profit,9/1/10,5/28/13,Electrical Efficiency,Transistors for Electric Motor Drives,Persist,
ADEPT,General Electric (GE) Global Research,CANCELLED,For-profit,1/1/11,7/17/12,Electrical Efficiency,Scalable Thick-Film Magnetics,Perish,"Can't find anything at GE, seems like research direction changed at Dartmouth?"
ALPHA,Los Alamos National Laboratory (LANL),ACTIVE,Non-profit,8/1/15,4/30/19,Centralized Generation,Plasma Liners For Fusion,,
ALPHA,"Magneto-Inertial Fusion Technologies, Inc. (MIFTI)",ACTIVE,,10/1/15,3/31/19,Centralized Generation,Staged Z-Pinch Target For Fusion,,
ALPHA,Swarthmore College,ACTIVE,Non-profit,9/28/15,7/31/19,Centralized Generation,Plasma Accelerator on the SSX,,
ALPHA,University of Washington (UW),ACTIVE,Non-profit,8/24/15,3/31/19,Centralized Generation,Flow Z-Pinch for Fusion,,
ALPHA,California Institute of Technology (Caltech),ALUMNI,Non-profit,10/1/15,12/31/18,Centralized Generation,Heating and Compression Mechanisms for Fusion,Perish,"it worked, but doesn't provide enough info for MIF experiments"
ALPHA,Helion Energy,ALUMNI,For-profit,9/30/15,9/29/18,Centralized Generation,Compression of FRC Targets for Fusion,Pivot,"Missed performance targets, building another, bigger prototype"
ALPHA,Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,8/1/15,6/30/18,Centralized Generation,MEMS Based Drivers For Fusion,Pivot,Part of OPEN 2018+ Nuclear cohort
ALPHA,NumerEx,ALUMNI,For-profit,10/1/15,10/31/18,Centralized Generation,Stabilized Liner Compressor For Low-Cost Fusion,Pivot,Ran out of money?
ALPHA,Sandia National Laboratories,ALUMNI,Non-profit,8/15/15,11/24/18,Centralized Generation,Magnetization and Heating Tools for Low-Cost Fusion,Persist,
AMPED,Feasible,ACTIVE,For-profit,8/23/17,8/22/19,Storage,Sound Wave-Enabled Battery Analysis,,
AMPED,Battelle Memorial Institute,ALUMNI,Non-profit,11/1/12,9/30/14,Storage,Optical Fault Sensors for Lithium-Ion Batteries,Pivot,
AMPED,Det Norske Veritas (DNV KEMA),ALUMNI,For-profit,10/1/12,4/1/15,Storage,Gas-Based Battery Monitoring System,Persist,"Seems like the technology is the same, even if there is relatively little data re: targets"
AMPED,Eaton Corporation,ALUMNI,For-profit,1/1/13,3/31/16,Storage,Advanced Battery Management for Hybrid Vehicles,Pivot,"Lots of research with NREL, but no products for hybrids (all stationary)"
AMPED,Ford Motor Company,ALUMNI,For-profit,1/1/13,3/31/16,Storage,Ultra-Precise Battery Tester,Persist,
AMPED,General Electric (GE) Global Research,ALUMNI,For-profit,1/1/13,12/31/16,Storage,Thin-Film Temperature Sensors for Batteries,Pivot,"got bought, won a bunch of awards, but nothing on website"
AMPED,Lawrence Livermore National Laboratory (LLNL),ALUMNI,Non-profit,10/1/12,9/30/15,Storage,Wireless Sensor System for Battery Packs,Perish,"Polystor (a partner) is out of business, no one licensing patent"
AMPED,Oak Ridge National Laboratory (ORNL),ALUMNI,Non-profit,10/1/12,2/15/15,Storage,Temperature-Regulated Batteries,Pivot,"No one seems to be using this, different research direction"
AMPED,Palo Alto Research Center (PARC),ALUMNI,For-profit,10/1/12,3/6/17,Storage,Embedded Fiber Optic Sensing System for Battery Packs,Persist,
AMPED,Pennsylvania State University (Penn State),ALUMNI,Non-profit,1/1/13,3/31/16,Storage,Reconfigurable Battery Packs,Pivot,"Seems to do a lot of controls research, but no product/spinnoff/actual arpa-e attribution"
AMPED,Robert Bosch,ALUMNI,For-profit,1/1/13,3/6/17,Storage,Battery Management and Control Software,Pivot,different performance targets
AMPED,Southwest Research Institute (SwRI),ALUMNI,Non-profit,10/1/12,2/15/15,Storage,Sensor Technology for Lithium-Ion Batteries,Perish,"some patents, but tech lead left to do ai for building mgmt systems"
AMPED,University of Washington (UW),ALUMNI,Non-profit,1/1/13,12/31/18,Storage,Optimal Battery Management System,Perish,"Last update was in 2017, he's moving to different university?"
AMPED,Utah State University (USU),ALUMNI,Non-profit,1/1/13,4/6/17,Storage,Dynamic Cell-Level Control for Battery Packs,Persist,
AMPED,Gayle Technologies,CANCELLED,For-profit,10/1/12,12/31/14,Storage,"Laser-Guided, Ultrasonic Battery Monitoring",Perish,
ARID,Applied Research Associates (ARA),ACTIVE,,9/1/15,2/28/19,Resource Efficiency,Cooling Using Thermochemical Cycle,,
ARID,Colorado State University (CSU),ACTIVE,Non-profit,11/10/15,5/9/19,Resource Efficiency,Ultra-Efficient Turbo-Compression Cooling,,
ARID,Electric Power Research Institute (EPRI),ACTIVE,,8/19/15,2/18/19,Resource Efficiency,Enhanced Air-Cooled Heat Exchanger,,
ARID,The Boeing Company,ACTIVE,For-profit,3/17/16,6/30/19,Resource Efficiency,Additive Manufacturing for Heat Exchangers,,
ARID,The State University of New York (SUNY) at Stony Brook,ACTIVE,Non-profit,8/23/15,2/22/19,Resource Efficiency,Water Recovery for Cooling,,
ARID,University of Cincinnati (UC),ACTIVE,Non-profit,9/8/15,3/7/19,Resource Efficiency,Air-Cooled Condenser and Storage System,,
ARID,University of Maryland (UMD),ACTIVE,Non-profit,9/1/15,2/28/19,Resource Efficiency,Advanced Heat Exchangers,,
ARID,University of Wisconsin-Madison (UW-Madison),ACTIVE,Non-profit,10/1/15,6/30/19,Resource Efficiency,Advanced Heat Exchangers,,
ARID,Advanced Cooling Technologies (ACT),ALUMNI,For-profit,8/15/15,12/31/18,Resource Efficiency,Cool Storage for Supplemental Cooling,Pivot,"Some research papers for power generator applications, but in 2018 aquired a pumped two-phase cooling business for industrial and defense power electronics"
ARID,General Electric (GE) Global Research,ALUMNI,For-profit,9/1/15,3/2/17,Resource Efficiency,Absorption Heat Pump,Pivot,"sort of related patent, but couldn't find any products online"
ARID,Palo Alto Research Center (PARC),ALUMNI,For-profit,8/6/15,5/5/17,Resource Efficiency,Radiative Film for Supplemental Cooling,Perish,"PARC has some patents, but its not clear that their implementation partner is actually making this stuff, main research guy at parc left"
ARID,SRI International,ALUMNI,Non-profit,8/5/15,6/6/17,Resource Efficiency,Radiative Film for Supplemental Cooling,Perish,"making stuff, but unclear if anyone is buying"
ARID,"University of Colorado, Boulder (CU-Boulder)",ALUMNI,Non-profit,7/31/15,9/30/18,Resource Efficiency,Radiative Cooling and Cold Storage,Pivot,"Seems like they're sort of still going, but not really targeting thermal power plants (as targeted)"
ARID,TDA Research,CANCELLED,For-profit,8/6/15,8/5/16,Resource Efficiency,Water Recovery for Cooling,Perish,"one patent, no? publications"
ARID,University of Maryland (UMD),CANCELLED,Non-profit,9/1/15,8/13/18,Resource Efficiency,Advanced Absorption Cooling,Perish,"one patent, no? publications"
BEEST,24M Technologies,ALUMNI,For-profit,9/1/10,2/28/14,Transportation Storage,Semi-Solid Flowable Battery Electrodes,Pivot,https://arpa-e.energy.gov/?q=slick-sheet-project/semi-solid-flowable-battery-electrodes
BEEST,Applied Materials,ALUMNI,For-profit,7/1/10,9/30/13,Transportation Storage,New Electrode Manufacturing Process Equipment,Persist,
BEEST,Pellion Technologies,ALUMNI,For-profit,9/1/10,12/31/12,Transportation Storage,Rechargeable Magnesium Batteries,Pivot,https://qz.com/1349245/the-next-major-innovation-in-batteries-might-be-here/
BEEST,PolyPlus Battery Company,ALUMNI,For-profit,7/1/10,12/31/12,Transportation Storage,Rechargeable Lithium-Air Batteries,Persist,
BEEST,Recapping,ALUMNI,For-profit,7/1/10,12/31/12,Transportation Storage,High Energy Density Capacitors,Perish,
BEEST,Sila Nanotechnologies,ALUMNI,For-profit,10/1/12,3/31/16,Transportation Storage,Double Energy Density Anodes for Lithium-Ion Batteries,Pivot,
BEEST,Sion Power,ALUMNI,For-profit,10/1/10,9/30/13,Transportation Storage,Lithium-Sulfur Batteries,Pivot,Not doing li-sulfur
BEEST,Stanford University,ALUMNI,Non-profit,7/1/10,6/30/12,Transportation Storage,The All-Electron Battery,Pivot,https://www.greentechmedia.com/articles/read/wv-quantumscape-investment#gs.baka1l
BEEST,Xilectric,ALUMNI,For-profit,10/1/12,9/30/15,Transportation Storage,Reinventing the Edison Battery,Pivot,
BEEST,Missouri University of Science & Technology (Missouri S&T),CANCELLED,Non-profit,8/1/10,1/16/13,Transportation Storage,Lithium-Air Battery,Perish,Seems like someone graduated and the project died?
BEEST,Planar Energy Devices,CANCELLED,For-profit,7/1/10,4/10/12,Transportation Storage,Solid State Lithium Batteries,Persist,
BEEST,ReVolt Technology,CANCELLED,For-profit,10/1/10,6/30/12,Transportation Storage,Rechargeable Zinc-Air Batteries,Perish,https://www.bizjournals.com/portland/blog/sbo/2012/11/taxpayer-backed-revolt-files-bankruptcy.html
BEETIT,American Superconductor (AMSC),ACTIVE,,5/20/14,10/31/19,Building Efficiency,High-Efficiency Air Conditioner,,
BEETIT,ADMA Products,ALUMNI,For-profit,9/1/10,7/31/14,Building Efficiency,Membrane Dehumidifier,Pivot,"Make the material, but limited product development"
BEETIT,Architectural Applications (A2),ALUMNI,For-profit,10/15/10,10/14/11,Building Efficiency,Energy Efficient Building Ventilation Systems,Pivot,"Were doing pilots, can't find really recent info"
BEETIT,Astronautics Corporation of America,ALUMNI,For-profit,9/1/10,4/30/14,Building Efficiency,Air Conditioning with Magnetic Refrigeration,Pivot,Couldn't find anything on their website about refrigeration/cooling products
BEETIT,Battelle Memorial Institute,ALUMNI,Non-profit,9/1/10,12/30/11,Building Efficiency,Cascade Reverse Osmosis Air Conditioning System,Perish,"Couldn't find anything on battelle's website, or find partner org at all"
BEETIT,Dais Analytic Corporation,ALUMNI,For-profit,10/1/10,2/29/12,Building Efficiency,Dehumidifying Air for Cooling & Refrigeration,Persist,
BEETIT,Georgia Tech Research Corporation,ALUMNI,Non-profit,9/1/10,6/30/14,Building Efficiency,Innovative Miniaturized Heat Pumps for Buildings,Pivot,"Still researching, abandoned patent app"
BEETIT,Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,9/15/10,7/31/15,Building Efficiency,High-Efficiency Adsorption Chillers,Persist,
BEETIT,Pennsylvania State University (Penn State),ALUMNI,Non-profit,9/1/10,7/31/14,Building Efficiency,Helium-Based Soundwave Chiller,Perish,
BEETIT,Sheetak,ALUMNI,For-profit,9/1/10,6/30/15,Building Efficiency,High-Efficiency Solid State Cooling Technologies,Perish,Chip cooling/cooler scale
BEETIT,United Technologies Research Center (UTRC),ALUMNI,For-profit,9/2/10,8/31/14,Building Efficiency,Liquid Desiccant in Air Conditioners,Perish,No products match this description
BEETIT,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,10/1/10,9/30/12,Building Efficiency,Compact Solid State Cooling Systems,Pivot,
BEETIT,University of Florida,ALUMNI,Non-profit,9/1/10,8/31/15,Building Efficiency,Membrane-Based Absorption Refrigeration Systems,Pivot,"No partner/info about partnership, publication focus has changed"
BEETIT,University of Maryland (UMD),ALUMNI,Non-profit,10/1/10,3/6/17,Building Efficiency,Elastic Metal Alloy Refrigerants,Pivot,
BEETIT,University of Notre Dame,ALUMNI,Non-profit,10/1/10,9/30/13,Building Efficiency,Carbon Dioxide and Ionic Liquid Refrigerants,Pivot,"""searching for better cofluids"""
BEETIT,Material Methods,CANCELLED,For-profit,9/15/10,9/21/11,Building Efficiency,Sound Wave Refrigerants,Perish,
BEETIT,United Technologies Research Center (UTRC),CANCELLED,For-profit,9/2/10,3/16/12,Building Efficiency,Water-Based Refrigerants,Perish,"Couldn't find anyting, not even sure they attended innovation summit"
DELTA,Otherlab,ACTIVE,For-profit,5/8/15,5/7/19,Building Efficiency,Passive Thermo-Adaptive Textiles,,
DELTA,Syracuse University,ACTIVE,Non-profit,5/1/15,10/31/19,Building Efficiency,Micro-Environmental Control System,,
DELTA,Cornell University,ALUMNI,Non-profit,4/27/15,8/15/18,Building Efficiency,Thermoregulatory Clothing System,Perish,"Research focused, moved on"
DELTA,SRI International,ALUMNI,Non-profit,5/1/15,9/30/18,Building Efficiency,Wearable Electroactive Textile,Pivot,https://science.sciencemag.org/content/357/6356/1130
DELTA,The State University of New York (SUNY) at Stony Brook,ALUMNI,Non-profit,5/5/15,7/30/18,Building Efficiency,Electroactive Smart Air-Conditioner VEnt Registers (eSAVER),Pivot,Focusing on sensors
DELTA,"University of California, Berkeley (UC Berkeley)",ALUMNI,Non-profit,5/14/15,6/30/18,Building Efficiency,Wirelessly Powered Heating and Cooling Devices,Perish,Witricity (partner) focusing on automotive charging
DELTA,"University of California, Irvine (UC Irvine)",ALUMNI,Non-profit,4/20/15,4/19/18,Building Efficiency,Thermocomfort Cloth,Pivot,
DELTA,"University of California, San Diego (UC San Diego)",ALUMNI,Non-profit,5/7/15,9/6/18,Building Efficiency,Adaptive Textiles Technology,Pivot,more on sensing than temperature regulation
DELTA,University of Maryland (UMD),ALUMNI,Non-profit,4/15/15,5/12/18,Building Efficiency,Robotic Personal Conditioning Device,Persist,"Its actually close to the cost target (exact #'s not super clear, but within spitting distance)"
DELTA,University of Maryland (UMD),ALUMNI,Non-profit,5/1/15,9/30/18,Building Efficiency,Meta-Cooling Textile,Pivot,This was a research project
DELTA,Stanford University,CANCELLED,Non-profit,4/30/15,9/30/17,Building Efficiency,Photonic Structure Textiles,Pivot,
Electrofuels,Columbia University,ALUMNI,Non-profit,7/1/10,6/30/14,Transportation Fuels,"Biofuels from Bacteria, Electricity, and CO2",Pivot,"Doesn't seem to be doing much with this, but Ironic Chemicals is using mine waste"
Electrofuels,Ginkgo Bioworks,ALUMNI,For-profit,7/16/10,1/15/14,Transportation Fuels,Biofuels from E. Coli,Pivot,
Electrofuels,Harvard University,ALUMNI,Non-profit,7/1/10,9/30/13,Transportation Fuels,"Fuel from Bacteria, CO2, Water, and Solar Energy",Pivot,Doesn't seem to be activley working on biofuels anymore
Electrofuels,Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,7/16/10,12/31/14,Transportation Fuels,Turning Bacteria into Biofuel,Pivot,"jbei still working on biofuels, not clear if they're still pursuing the same combination of bacteria/catalysts"
Electrofuels,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,7/15/10,3/31/14,Transportation Fuels,Natural Oil Production from Microorganisms,Pivot,Different target market
Electrofuels,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,7/15/10,10/1/13,Transportation Fuels,Liquid Fuel from Bacteri,Perish,
Electrofuels,Medical University of South Carolina (MUSC),ALUMNI,Non-profit,7/9/10,2/15/15,Transportation Fuels,Liquid Fuel from Microbial Communities,Perish,
Electrofuels,North Carolina State University (NC State),ALUMNI,Non-profit,7/1/10,12/31/14,Transportation Fuels,Liquid Fuel from Heat-Loving Microorganisms,Pivot,Researchy
Electrofuels,OPX Biotechnologies,ALUMNI,For-profit,7/12/10,3/31/14,Transportation Fuels,Engineering Bacteria for Efficient Fuel Production,Perish,Sold some other assets to Cargill
Electrofuels,Pennsylvania State University (Penn State),ALUMNI,Non-profit,7/1/10,6/30/14,Transportation Fuels,Genetically Modified Bacteria for Fuel Production,Pivot,
Electrofuels,The Ohio State University,ALUMNI,Non-profit,7/1/10,6/30/14,Transportation Fuels,Fuel from Bacteria,Pivot,
Electrofuels,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,7/15/10,4/30/14,Transportation Fuels,Liquid Fuel from Renewable Electricity and Bacteria,Pivot,"similar research, partner company folded"
Electrofuels,University of Massachusetts at Amherst (UMass Amherst),ALUMNI,Non-profit,7/1/10,6/30/14,Transportation Fuels,Biofuels from Solar Energy and Bacteria,Pivot,
FOCUS,Arizona State University (ASU),ALUMNI,Non-profit,5/30/14,8/29/17,Distributed Generation,High-Temperature Topping Cells from LED Materials,Perish,"Some similar research, parnter companies moved on"
FOCUS,Arizona State University (ASU),ALUMNI,Non-profit,6/1/14,8/31/17,Distributed Generation,Solar-Concentrating Photovoltaic Mirror,Pivot,Missed cost target
FOCUS,Cogenra Solar,ALUMNI,For-profit,7/10/14,7/9/16,Distributed Generation,Hybrid Solar Converter with Light-Filtering Mirror,Pivot,
FOCUS,Gas Technology Institute (GTI),ALUMNI,Non-profit,5/13/14,1/31/18,Distributed Generation,Double-Reflector Hybrid Solar Energy System,Persist,
FOCUS,General Electric (GE) Global Research,ALUMNI,For-profit,8/1/14,12/31/18,Distributed Generation,Electrochemical Energy Storage with a Supercritical CO2 Cycle,Pivot,"still researchy, but got follow-on funding"
FOCUS,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,6/17/14,9/16/17,Distributed Generation,Stacked Hybrid Solar Converter,Pivot,
FOCUS,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,5/15/14,7/31/15,Distributed Generation,Low-Cost Hetero-Epitaxial Solar Cell for Hybrid Converter,Pivot,
FOCUS,Tulane University,ALUMNI,Non-profit,8/1/14,9/30/18,Distributed Generation,Hybrid Solar Converter,Pivot,dont think they hit cost targets
FOCUS,University of Arizona,ALUMNI,Non-profit,8/11/17,8/10/18,Distributed Generation,Partially Transmitting Mirror,Pivot,Nothing about cost target
FOCUS,University of Tulsa,ALUMNI,Non-profit,5/15/14,2/14/17,Distributed Generation,Liquid Filter with Plasmonic Nanoparticles,Pivot,
FOCUS,University of Tulsa,ALUMNI,Non-profit,11/7/16,12/31/18,Distributed Generation,Hybrid Solar Converter with Light-Filtering Mirror,Pivot,New strategies to get to cost target
FOCUS,Yale University,ALUMNI,Non-profit,7/15/14,12/31/17,Distributed Generation,High-Temperature Dual-Junction Topping Cells,Pivot,
FOCUS,MicroLink Devices,CANCELLED,For-profit,6/11/14,8/4/16,Distributed Generation,Dual-Junction Photovoltaic Topping Device for High-Temp Operation,Pivot,Mostly space applications
FOCUS,Northrop Grumman Aerospace Systems,CANCELLED,For-profit,6/15/14,8/4/16,Distributed Generation,Thermo-Acoustic Hybrid Solar Energy System,Perish,"Some publications, nothing on NG website?"
GENI,AutoGrid,ALUMNI,For-profit,1/11/12,3/31/14,Grid,Integration of Renewables via Demand Management,Persist,
GENI,Boston University (BU),ALUMNI,Non-profit,4/19/13,3/31/16,Grid,Decision-Support Software for Grid Operators,Persist,
GENI,California Institute of Technology (Caltech),ALUMNI,Non-profit,3/1/12,6/1/15,Grid,Scalable Distributed Automation System,Pivot,"Using algorithm for EV/storage research questions, but patents not licensed"
GENI,Cornell University,ALUMNI,Non-profit,2/8/12,8/7/15,Grid,Cloud Computing for the Grid,Persist,
GENI,General Atomics,ALUMNI,For-profit,1/9/12,7/31/13,Grid,Low-Insertion HVDC Circuit Breaker,Pivot,No mention of the DC circuit breaker anywhere on website
GENI,General Electric (GE) Global Research,ALUMNI,For-profit,2/24/12,5/31/14,Grid,Cost-Effective Cable Insulation,Perish,can't find anything after project
GENI,General Electric (GE) Global Research,ALUMNI,For-profit,1/23/12,1/22/15,Grid,Connecting Renewables Directly to the Grid,Perish,nothing on the website
GENI,Georgia Tech Research Corporation,ALUMNI,Non-profit,1/11/12,2/15/15,Grid,"Autonomous, Decentralized Grid Architecture",Pivot,
GENI,Michigan State University (MSU),ALUMNI,Non-profit,2/8/12,11/15/15,Grid,Power Flow Controller for Renewables,Persist,
GENI,Oak Ridge National Laboratory (ORNL),ALUMNI,Non-profit,2/24/12,6/30/17,Grid,Magnetic Amplifier for Power Flow Control,Pivot,"Licensed tech, but SPX seems to only do custom (ie expensive, not 10x cheaper) stuff"
GENI,Sandia National Laboratories,ALUMNI,Non-profit,4/1/12,1/16/15,Grid,Probability-Based Software for Grid Optimization,Persist,"Made a model, still in use?"
GENI,Smart Wire Grid,ALUMNI,For-profit,4/23/12,9/30/14,Grid,Distributed Power Flow Control,Persist,
GENI,Texas Engineering Experiment Station (TEES),ALUMNI,Non-profit,3/1/12,6/30/15,Grid,Automated Grid Disruption Response System,Pivot,"Made a model, don't think its an active control technology, but in simulator"
GENI,University of Washington (UW),ALUMNI,Non-profit,3/1/12,10/14/15,Grid,Renewable Energy Positioning System,Pivot,"research-based, pivoted"
GENI,Varentec,ALUMNI,For-profit,1/3/12,5/31/16,Grid,Dynamic Power Flow Controller,Persist,I think they're selling this?
GENSETS,Aerodyne Research,ALUMNI,For-profit,11/1/15,12/31/18,Distributed Generation,Single-Cylinder Two-Stroke Free-Piston Internal Combustion Generator,Perish,"Were looking to license/deploy in homes, doesnt seem like that's happening (no patent licensee)"
GENSETS,Air Square,ACTIVE,,5/1/16,4/30/19,Distributed Generation,High Efficiency Generator System,,
GENSETS,American Superconductor (AMSC),ACTIVE,,11/30/15,3/31/19,Distributed Generation,Sustainable Economic mCHP Stirling (SEmS) Generator,,
GENSETS,Brayton Energy,ALUMNI,For-profit,11/9/15,11/8/18,Distributed Generation,1kW Recuperated Brayton-Cycle Engine,Persist,
GENSETS,MAHLE Powertrain,ACTIVE,,11/1/15,3/31/19,Distributed Generation,Advanced Lean Burn Micro-CHP Genset,,
GENSETS,Metis Design Corporation (MDC),ALUMNI,For-profit,10/22/15,12/31/18,Distributed Generation,Advanced Microturbine Engine for Residential CHP,Perish,"Doing stuff for NASA/NAVY, no distributed power"
GENSETS,Sunpower,ACTIVE,,12/1/15,12/31/19,Distributed Generation,Free Piston Stirling Engine Based 1kW Generator,,
GENSETS,Tour Engine,ACTIVE,,11/24/15,9/30/19,Distributed Generation,High Efficiency Split-Cycle Engine for Residential Generators,,
GENSETS,West Virginia University Research Corporation (WVURC),ACTIVE,Non-profit,6/12/17,12/11/19,Distributed Generation,Advanced Stirling Power Generation System for CHP,,
GENSETS,West Virginia University Research Corporation (WVURC),ACTIVE,Non-profit,11/3/15,10/2/19,Distributed Generation,Oscillating Linear Engine and Alternator,,
GENSETS,Wisconsin Engine Research Consultants (WERC),ACTIVE,Non-profit,12/17/15,6/16/19,Distributed Generation,Spark-Assisted HCCI Residential Generator,,
GENSETS,"Mohawk Innovative Technology, Inc. (MiTi)",EXCLUDE,,3/15/16,6/9/16,Distributed Generation,High-Speed Microturbine with Air Foil Bearings for Residential CHP,,
GENSETS,NanoConversion Technologies,CANCELLED,,11/16/15,12/2/16,Distributed Generation,High-Efficiency Thermoelectric CHP,Perish,
GENSETS,Sencera Energy,EXCLUDE,,2/1/16,6/30/17,Distributed Generation,Hybrid Engine Generator for Residential CHP,,
GRID DATA,GridBright,ACTIVE,,5/25/16,5/24/19,Grid,Power Systems Model Repository,,
GRID DATA,National Renewable Energy Laboratory (NREL),ACTIVE,Non-profit,8/24/16,11/30/19,Grid,SMARTDATA Grid Models,,
GRID DATA,Pacific Northwest National Laboratory (PNNL),ACTIVE,Non-profit,7/1/16,6/30/20,Grid,Data Repository for Power System Models,,
GRID DATA,University of Wisconsin-Madison,ACTIVE,Non-profit,8/11/16,11/9/19,Grid,EPIGRIDS Transmission System Models,,
GRID DATA,Pacific Northwest National Laboratory (PNNL),EXCLUDE,Non-profit,9/7/16,1/18/19,Grid,Sustainable Data Evolution Technology,,
GRID DATA,"University of Illinois, Urbana-Champaign (UIUC)",ALUMNI,Non-profit,6/20/16,12/31/18,Grid,Synthetic Data for Power Grid R&D,Perish,Nothing posted to repository
GRID DATA,University of Michigan,ALUMNI,Non-profit,5/27/16,11/26/18,Grid,Transmission System Data Set,Perish,Nothing posted to repository
GRIDS,ABB,ALUMNI,For-profit,10/1/10,6/30/14,Storage,Magnetic Energy Storage System,Pivot,Don't see anything about magnetic systems on their website
GRIDS,City University of New York (CUNY) Energy Institute,ALUMNI,Non-profit,9/15/10,3/31/15,Storage,Flow-Assisted Alkaline Battery,Pivot,
