Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
MOSAIC,Palo Alto Research Center (PARC),ACTIVE,For-profit,12/29/15,3/31/19,Distributed Generation,Micro-Chiplet Printer for MOSAIC,,
MOSAIC,Panasonic Boston Laboratory,ACTIVE,,1/15/16,4/14/19,Distributed Generation,Low Profile CPV Panel with Sun Tracking for Rooftop Installation,,
MOSAIC,Pennsylvania State University (Penn State),ACTIVE,,2/10/16,8/9/19,Distributed Generation,Wide-Angle Planar Microtracking Microcell Concentrating Photovoltaics,,
MOSAIC,University of Arizona,ACTIVE,,4/1/17,9/30/19,Distributed Generation,A High Efficiency Flat Plate PV with Integrated Micro-CPV Atop a 1-Sun Panel,,
MOSAIC,University of Rochester,ACTIVE,,1/1/16,9/30/19,Distributed Generation,Planar Light Guide Concentrated Photovoltaics,,
MOSAIC,Texas Engineering Experiment Station (TEES),ALUMNI,Non-profit,2/1/16,12/31/18,Distributed Generation,Waveguiding Solar Concentrator,Pivot,"Seems like they're using it for research funding, not much info on actual commercialization"
MOVE,Blackpak,ALUMNI,For-profit,10/1/12,9/30/16,Transportation Fuels,Sorbent-Based Natural Gas Tank,Perish,
MOVE,Eaton Corporation,ALUMNI,For-profit,1/1/13,12/31/15,Transportation Fuels,Liquid-Piston Isothermal Home Natural Gas Compressor,Perish,"No related products, lots of articles about development, nothing about launch"
MOVE,Gas Technology Institute (GTI),ALUMNI,Non-profit,1/1/13,12/31/14,Transportation Fuels,Adsorbent Materials for Natural Gas Storage,Pivot,"Not sure what's happening with this, have a patent"
MOVE,Gas Technology Institute (GTI),ALUMNI,Non-profit,10/1/12,3/31/14,Transportation Fuels,Low-Pressure Conformable Natural Gas Vehicle Tank,Pivot,Partners working on hydrogen now
MOVE,OnBoard Dynamics,ALUMNI,For-profit,10/1/12,1/14/18,Transportation Fuels,On-Vehicle Engine-Compressor System,Pivot,
MOVE,Otherlab,ALUMNI,For-profit,9/3/12,3/31/16,Transportation Fuels,Intestinal Natural Gas Storage,Pivot,Linamar licenscing it from spinn off
MOVE,Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,10/1/12,9/30/14,Transportation Fuels,Ultra-Light Conformable Natural Gas Tank,Perish,"seem to be focused on hydrogen, not natural gas"
MOVE,REL,ALUMNI,For-profit,9/1/12,9/30/16,Transportation Fuels,Conformable Core Gas Tank,Persist,"Not sure about cost, but they put this in a car and it worked"
MOVE,Texas A&M University,ALUMNI,Non-profit,9/17/12,12/31/14,Transportation Fuels,Highly Adsorbent Materials for Natural Gas Storage,Pivot,"this guy does MOFs, for a bunch of applications"
MOVE,United Technologies Research Center (UTRC),ALUMNI,For-profit,10/1/12,3/31/16,Transportation Fuels,Modular Natural Gas Tank,Persist,
MOVE,University of Texas at Austin (UT Austin),ALUMNI,Non-profit,10/1/12,12/31/15,Transportation Fuels,Single-Piston Natural Gas Compressor,Perish,"built a prototype, couldn't find any publications, no patents, no specific partners"
MOVE,Ford Motor Company,CANCELLED,For-profit,9/17/12,3/31/15,Transportation Fuels,Low Pressure Material-Based Natural Gas Fuel System,Perish,
MOVE,GE Global Research,CANCELLED,For-profit,1/1/13,4/20/14,Transportation Fuels,Chilled Natural Gas for At-Home Refueling,Perish,the CNG in a box system never got downsized
PETRO,Arcadia Biosciences,ALUMNI,For-profit,1/1/12,9/30/15,Transportation Fuels,Vegetable Oil from Leaves and Stems,Perish,Doesn't seem like they're doing anything with sorghum anymore
PETRO,Donald Danforth Plant Science Center,ALUMNI,Non-profit,1/1/12,12/31/16,Transportation Fuels,Improved Light Utilization in Camelina,Pivot,"Research, didn't hit cost targets, patents aren't licensed to anyone"
PETRO,Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,1/1/12,3/26/15,Transportation Fuels,Oil from Tobacco Leaves,Pivot,PI working with sorgum
PETRO,North Carolina State University (NC State),ALUMNI,Non-profit,1/1/12,3/31/17,Transportation Fuels,Jet Fuel from Camelina,Pivot,
PETRO,Texas A&M Agrilife Research,ALUMNI,Non-profit,2/15/12,3/6/17,Transportation Fuels,Fuel from Tobacco and Arundo Donax,Pivot,
PETRO,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,1/1/12,9/30/15,Transportation Fuels,Efficient CO2 Fixation Pathways,Perish,Not doing anything with biofuels recently
PETRO,University of Florida,ALUMNI,Non-profit,1/1/12,9/9/17,Transportation Fuels,Tappable Pine Trees,Pivot,
PETRO,"University of Illinois, Urbana-Champaign (UIUC)",ALUMNI,Non-profit,2/15/12,3/31/17,Transportation Fuels,Genetically Enhanced Sorghum and Sugarcane,Pivot,
PETRO,University of Massachusetts at Amherst (UMass Amherst),ALUMNI,Non-profit,1/1/12,12/31/15,Transportation Fuels,Enhanced Carbon Concentration in Camelina,Pivot,
PETRO,Chromatin,CANCELLED,For-profit,1/1/12,12/31/15,Transportation Fuels,Biofuels from Sorghum,Perish,
RANGE,University of Maryland (UMD),ACTIVE,Non-profit,1/16/17,1/15/20,Transportation Storage,Solid-State Lithium-Ion Battery With Ceramic Electrolyte,,
RANGE,University of Maryland (UMD),ACTIVE,Non-profit,3/18/14,1/31/20,Transportation Storage,Multiple-Electron Aqueous Battery,,
RANGE,Arizona State University (ASU),ALUMNI,Non-profit,11/25/13,12/31/15,Transportation Storage,Multifunctional Cells for Electric Vehicles,Perish,"Not a thing, but main guy worked at fluidic"
RANGE,Bettergy,ALUMNI,For-profit,12/1/13,9/30/15,Transportation Storage,Beyond Lithium-Ion Solid-State Battery,Pivot,"ARPA-E Tech was zinc based, now mostly doing li metal/li sulfur"
RANGE,Cadenza Innovation,ALUMNI,For-profit,2/10/14,12/1/17,Transportation Storage,Low-Cost Electric Vehicle Battery Architecture,Persist,Cadenza met the RANGE programs pack goal of $125/kWh and is now making strides towards deployment. It received private sector follow-on funding to expand its 25-person team and is currently marketing its technology to potential licensees.
RANGE,Ceramatec,ALUMNI,For-profit,1/1/14,1/14/17,Transportation Storage,Advanced Lithium-Sulfur Batteries,Perish,
RANGE,EnZinc,ALUMNI,For-profit,2/19/14,3/27/15,Transportation Storage,"Rechargeable, Long-Life, Zinc-Air Battery",Persist,
RANGE,General Electric (GE) Power & Water,ALUMNI,For-profit,3/28/14,4/2/15,Transportation Storage,Water-Based Flow Battery for EVs,Perish,"Nothing on their website, seems like they spun out transportation"
RANGE,Jet Propulsion Laboratory (JPL),ALUMNI,Non-profit,4/30/14,5/18/16,Transportation Storage,Metal Hydride-Air Battery,Perish,"Patents, but no recent pubs"
RANGE,National Renewable Energy Laboratory (NREL),ALUMNI,Non-profit,1/6/14,2/18/15,Transportation Storage,Renewable Organics for Flow Battery,Perish,Chemtura bought by Lanxess
RANGE,Oak Ridge National Laboratory (ORNL),ALUMNI,Non-profit,6/1/14,12/31/15,Transportation Storage,Light-weight Battery with Built-in Safety Features,Pivot,"Published a paper, not patent, seems to be doing regular battery work"
RANGE,Oak Ridge National Laboratory (ORNL),ALUMNI,Non-profit,11/1/13,10/31/15,Transportation Storage,Impact-Resistant Electrolyte,Pivot,What's the difference between SAFIRE & EXPIRE?
RANGE,Pennsylvania State University (Penn State),ALUMNI,Non-profit,11/1/13,12/31/15,Transportation Storage,Structural Battery Power Panels,Pivot,"Working on aircraft, not cars"
RANGE,Princeton University,ALUMNI,Non-profit,12/11/13,3/31/15,Transportation Storage,Long-Life Rechargeable Alkaline Batteries for EVs,Perish,We arent doing this?
RANGE,Purdue University,ALUMNI,Non-profit,12/2/13,12/31/15,Transportation Storage,Impact-Tolerant Electric Vehicle Batteries,Perish,"No recent work, patent not licensed"
RANGE,Solid Power,ALUMNI,For-profit,1/1/14,6/30/17,Transportation Storage,All Solid-State Lithium-Ion Battery,Pivot,"Haven't really sold anything, still working on electrolyte"
RANGE,Stanford University,ALUMNI,Non-profit,2/11/14,9/30/17,Transportation Storage,Multifunctional Battery Chassis Systems,Pivot,"Different mechanical sensors, aerospace more interested than ev"
RANGE,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,9/29/16,9/28/17,Transportation Storage,"Long-Life, Acid-Based Battery",Perish,Only pub associated with grant is for something totally different?
RANGE,"University of California, San Diego (UC San Diego)",ALUMNI,Non-profit,2/19/14,4/28/17,Transportation Storage,Multifunctional Battery Systems for Electric Vehicles,Pivot,
RANGE,University of Houston,ALUMNI,Non-profit,11/13/13,8/12/15,Transportation Storage,Low-Cost Water-Based Electric Vehicle Batteries,Pivot,"Using similar technology, but for solid-state batteries"
RANGE,BASF,CANCELLED,For-profit,2/18/14,6/30/15,Transportation Storage,Rare-Earth Free EV Batteries,Perish,
RANGE,Illinois Institute of Technology (IIT),CANCELLED,Non-profit,1/1/14,12/31/15,Transportation Storage,Nanoelectrofuel Flow Battery for Electric Vehicles,Perish,"No recent work, patent not licensed"
REACT,Ames National Laboratory,ALUMNI,Non-profit,1/1/12,5/31/15,Resource Efficiency,Cerium-Based Magnets,Perish,
REACT,Argonne National Laboratory (ANL),ALUMNI,Non-profit,1/1/12,9/30/15,Resource Efficiency,Exchange-Spring Magnets,Perish,"Can't find any projects/papers/publications, main (original) guy left"
REACT,Baldor Electric Company,ALUMNI,For-profit,1/31/12,2/15/15,Resource Efficiency,Rare-Earth-Free Traction Motor,Perish,website not working
REACT,Brookhaven National Laboratory,ALUMNI,Non-profit,1/1/12,3/31/16,Resource Efficiency,Improved Superconducting Wire for Wind Generators,Persist,
REACT,Case Western Reserve University,ALUMNI,Non-profit,1/1/12,6/30/15,Resource Efficiency,Iron-Nitride Alloy Magnets,Perish,"Can't find recent materials research, mostly systems-level wind stuff"
REACT,Dartmouth College,ALUMNI,Non-profit,1/1/12,3/30/13,Resource Efficiency,Manganese-Aluminum-Based Magnets,Persist,
REACT,Northeastern University,ALUMNI,Non-profit,2/24/12,12/31/13,Resource Efficiency,Iron-Nickel-Based Supermagnets,Pivot,"Research, no commercialization plan"
REACT,Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,1/1/12,9/30/15,Resource Efficiency,Manganese-Based Magnets,Pivot,"Research focus, still needs work to commercialize"
REACT,QM Power,ALUMNI,For-profit,1/1/12,2/28/15,Resource Efficiency,"Efficient, High-Torque Electric Vehicle Motor",Pivot,"Make motors, but nothing for EVs"
REACT,University of Alabama,ALUMNI,Non-profit,2/8/12,9/30/13,Resource Efficiency,Rare-Earth-Free Nanostructure Magnets,Pivot,
REACT,University of Houston,ALUMNI,Non-profit,1/1/12,6/30/15,Resource Efficiency,Low-Cost Superconducting Wire for Wind Generators,Persist,
REACT,University of Minnesota (UMN),ALUMNI,Non-profit,1/1/12,9/30/15,Resource Efficiency,Iron-Nitride-Based Magnets,Pivot,Research-based
REACT,University of Texas at Dallas (UT Dallas),ALUMNI,Non-profit,6/7/12,2/15/15,Resource Efficiency,Double-Stator Motor Design,Pivot,Efficiency seems low (in patent) but still churning out papers
REACT,Virginia Commonwealth University (VCU),ALUMNI,Non-profit,1/1/12,12/31/13,Resource Efficiency,Carbon-Based Magnets,Perish,Do consulting/materials development
REBELS,Colorado School of Mines,ACTIVE,Non-profit,10/1/14,9/21/20,Distributed Generation,Fuel-Flexible Protonic Ceramic Fuel Cell Stack,,
REBELS,Argonne National Laboratory,ALUMNI,Non-profit,10/1/14,3/31/17,Distributed Generation,Electricity and Liquid Fuels from Natural Gas,Perish,
REBELS,Georgia Tech Research Corporation,ALUMNI,Non-profit,10/1/14,9/30/18,Distributed Generation,Fuel Cell Tailored for Efficient Utilization of Methane,Persist,"Recent patent, publications"
REBELS,Oak Ridge National Laboratory (ORNL),ALUMNI,Non-profit,10/1/14,10/7/17,Distributed Generation,Nanocomposite Electrodes for a Solid Acid Fuel Cell Stack,Pivot,Still publishing/presenting similar projects
REBELS,Redox Power Systems,ALUMNI,For-profit,10/1/14,3/31/18,Distributed Generation,Low-Temperature Solid Oxide Fuel Cells,Perish,Filed for bankruptcy
REBELS,SAFCell,ALUMNI,For-profit,10/1/14,6/30/18,Distributed Generation,Solid Acid Fuel Cell Stack,Pivot,They reapplied for another grant to do ammonia conversion
REBELS,United Technologies Research Center (UTRC),ALUMNI,For-profit,10/1/14,3/19/18,Distributed Generation,Intermediate Temperature Solid Oxide Fuel Cell Stack,Pivot,https://www.nature.com/articles/s41560-017-0085-9
REBELS,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,11/1/14,4/30/17,Distributed Generation,Fuel Cells with Dynamic Response Capability,Perish,Doesn't seem like they're continuing this research
REBELS,University of South Carolina,ALUMNI,Non-profit,10/1/14,9/30/17,Distributed Generation,Bi-functional Ceramic Fuel Cell Energy System,Pivot,"Research, no patents"
REBELS,FuelCell Energy,CANCELLED,For-profit,10/1/14,9/30/17,Distributed Generation,Liquid Fuels and Electricity from Intermediate-Temperature Fuel Cells,Pivot,Still doing fuel cells (but may go bankrupt?)
REBELS,"Materials & Systems Research, Inc. (MSRI)",CANCELLED,For-profit,11/1/14,12/31/16,Distributed Generation,Electrogenerative Cells for Flexible Cogeneration of Power and Liquid Fuel,Perish,"Website no longer works, CEO gone"
REBELS,Palo Alto Research Center (PARC),CANCELLED,For-profit,10/1/14,3/15/16,Distributed Generation,Reformer-less Fuel Cell,Perish,"No patents for PI, no other info"
REBELS,SiEnergy Systems,CANCELLED,For-Profit,9/17/14,11/20/15,Distributed Generation,Hybrid Fuel Cell-Battery System,Perish,permanently closed (according to google)
REFUEL,Bettergy,ACTIVE,,6/9/17,6/8/20,Transportation Fuels,Ammonia Cracking Membrane Reactor,,
REFUEL,Chemtronergy,ACTIVE,,11/15/17,5/14/19,Transportation Fuels,Solid Oxide Fuel Cell System,,
REFUEL,FuelCell Energy,ACTIVE,,5/22/17,5/21/20,Transportation Fuels,Protonic Ceramics for Ammoni,,
REFUEL,Gas Technology Institute (GTI),ACTIVE,Non-profit,6/1/17,5/31/20,Transportation Fuels,Dimethyl Ether Synthesis from Renewables,,
REFUEL,Giner,ACTIVE,,6/1/17,5/31/19,Transportation Fuels,Anion Exchange Membrane Ammonia Production,,
REFUEL,Molecule Works,ACTIVE,,6/6/17,9/5/20,Transportation Fuels,Electrochemical Membrane Reactor for Ammoni,,
REFUEL,Rensselaer Polytechnic Institute (RPI),ACTIVE,,11/30/17,3/31/19,Transportation Fuels,H2 From Thermal Catalytic Ammonia Decomposition,,
REFUEL,Research Triangle Institute (RTI),ACTIVE,,4/10/17,4/9/20,Transportation Fuels,Renewables-Based Catalytic Ammonia Production,,
REFUEL,SAFCell,ACTIVE,,5/22/17,5/21/20,Transportation Fuels,Electrochemical Ammonia Conversion,,
REFUEL,Storagenergy Technologies,ACTIVE,,6/5/17,12/4/20,Transportation Fuels,Solid-State Alkaline Electrolyzer Ammonia Synthesis,,
REFUEL,University of Delaware (UD),ACTIVE,Non-profit,4/1/17,3/31/20,Transportation Fuels,Direct Ammonia Fuel Cells,,
REFUEL,University of Minnesota (UMN),ACTIVE,Non-profit,7/10/17,7/9/19,Transportation Fuels,Wind Energy to Ammonia Synthesis,,
REFUEL,West Virginia University Research Corporation (WVURC),ACTIVE,Non-profit,4/1/17,3/31/19,Transportation Fuels,Microwave-Plasma Ammonia Synthesis,,
REFUEL,Wichita State University,ACTIVE,Non-profit,6/19/17,6/18/19,Transportation Fuels,Alkaline Membrane-Based Ammonia Electrosynthesis,,
REFUEL,Skyre,ALUMNI,,6/9/17,9/30/18,Transportation Fuels,Carbon Dioxide to Dimethyl Ether,Pivot,Moved to focus on hydrogen
REFUEL,Opus 12,EXCLUDE,,6/16/17,10/31/18,Transportation Fuels,Carbon Dioxide Conversion to Ethanol,,Wouldn't have been finished
REMOTE,LanzaTech,ACTIVE,For-profit,1/29/14,8/31/19,Transportation Fuels,Bioreactor with Improved Methane Transfer,,
REMOTE,"University of California, Los Angeles (UCLA)",ACTIVE,Non-profit,3/20/15,12/31/19,Manufacturing Efficiency,Renewable Production of Commodity Chemicals,,
REMOTE,University of Delaware (UD),ACTIVE,Non-profit,1/13/14,12/31/19,Transportation Fuels,Methanol to Liquid Fuel,,
REMOTE,ARZEDA,ALUMNI,For-profit,1/1/14,9/30/15,Transportation Fuels,Metalloenzymes for Methane Activation,Perish,"Still doing original tech, no mention of biofuels/other energy"
REMOTE,Calysta Energy,ALUMNI,For-profit,1/6/14,1/5/15,Transportation Fuels,Bioreactor Designs for Rapid Fermentation,Perish,"Technology works, but using it for fish food"
REMOTE,GreenLight Biosciences,ALUMNI,For-profit,2/3/14,3/6/17,Transportation Fuels,Cell-Free Bioconversion of Natural Gas,Perish,"seems like the tech is the same, but not specifically working on biofuels"
REMOTE,Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,1/1/14,12/31/16,Transportation Fuels,Enzymes for Methane Conversion,Perish,"One patent, the corporate partners aren't doing anything with it"
REMOTE,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,2/3/14,6/30/17,Transportation Fuels,Single-Step Methane to Liquid Fuels,Pivot,
REMOTE,MOgene Green Chemicals,ALUMNI,For-profit,1/1/14,6/30/17,Transportation Fuels,Sunlight-Assisted Methane Conversion,Perish,couldn't find any publications or related patents
REMOTE,Northwestern University,ALUMNI,Non-profit,2/12/14,11/15/15,Transportation Fuels,New Synthetic Catalysts for Methane Activation,Pivot,
REMOTE,Oregon State University (OSU),ALUMNI,Non-profit,1/1/14,8/31/17,Transportation Fuels,Bioreactor Using Ultra-Thin Plates,Perish,"No publications, no recent info, no website"
REMOTE,Pennsylvania State University (Penn State),ALUMNI,Non-profit,1/1/14,6/30/17,Transportation Fuels,Methane-to-Acetate,Pivot,
REMOTE,"University of California, Davis (UC Davis)",ALUMNI,Non-profit,1/7/14,9/30/17,Transportation Fuels,Ethylene-to-Butanol,Pivot,
REMOTE,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,1/1/14,6/30/17,Transportation Fuels,Synthetic Pathway for Methanol Conversion,Perish,
REMOTE,University of Michigan,ALUMNI,Non-profit,1/23/14,3/6/17,Transportation Fuels,Methane-to-Methanol,Pivot,
REMOTE,Coskata,CANCELLED,For-profit,1/15/14,6/13/14,Transportation Fuels,Methanol Fermentation in Clostridium Bacteri,Perish,IP purchased by synata bio
SHIELD,Arizona State University (ASU),ACTIVE,Non-profit,12/13/16,12/12/19,Building Efficiency,Insulating Particulate Coatings,,
SHIELD,Aspen Aerogels,ACTIVE,,11/18/16,11/17/19,Building Efficiency,Aerogel Insulated Pane,,
SHIELD,IR Dynamics,ACTIVE,,1/10/17,4/9/19,Building Efficiency,Dynamic IR Window Film,,
SHIELD,NanoSD,ACTIVE,,10/1/16,9/30/20,Building Efficiency,Nanobubble Thermal Barrier,,
SHIELD,Palo Alto Research Center (PARC),ACTIVE,For-profit,12/8/16,12/7/19,Building Efficiency,Window Thermal Barrier,,
SHIELD,"University of California, Los Angeles (UCLA)",ACTIVE,Non-profit,1/4/17,7/3/19,Building Efficiency,Thinner Coatings,,
SHIELD,"University of California, San Diego (UC San Diego)",ACTIVE,Non-profit,11/3/16,11/2/19,Building Efficiency,Polymer-Based Window Coating,,
SHIELD,"University of Colorado, Boulder (CU-Boulder)",ACTIVE,Non-profit,11/14/16,2/13/19,Building Efficiency,Cellulose Nanocrystal Film,,
SHIELD,Virginia Commonwealth University (VCU),ACTIVE,Non-profit,2/1/17,7/31/19,Building Efficiency,Crosslink Aerogels,,
SHIELD,SRI International,ACTIVE,Non-profit,12/5/16,12/4/19,Building Efficiency,Engineered Polymer Film,,
SHIELD,Triton Systems,ALUMNI,For-profit,2/6/17,3/13/18,Building Efficiency,Multifunctional Glazing System,Perish,"Only patent is from before arpa-e, no products"
SHIELD,Argonne National Laboratory (ANL),EXCLUDE,Non-profit,1/12/17,1/11/20,Building Efficiency,Transparent Nanofoam Polymer,,
SHIELD,Eclipse Energy Systems,EXCLUDE,,1/23/17,1/22/19,Building Efficiency,Eclipse Shield,,
SHIELD,Oak Ridge National Laboratory (ORNL),EXCLUDE,Non-profit,2/6/17,6/19/17,Building Efficiency,Multilayer Insulating Film,,
Solar ADEPT,Carnegie Mellon University (CMU),ALUMNI,Non-profit,2/27/12,3/28/15,Distributed Generation,Magnet Technology for Power Converters,Pivot,"looking at EV, wind turbine applications"
Solar ADEPT,Cree,ALUMNI,For-profit,1/25/12,7/31/17,Distributed Generation,Utility-Scale Solar Power Converter,Pivot,"similar products, what about the timeline?"
Solar ADEPT,Ideal Power,ALUMNI,For-profit,1/30/12,5/29/15,Distributed Generation,Lightweight PV Inverters,Pivot,
Solar ADEPT,SolarBridge Technologies,ALUMNI,For-profit,2/23/12,6/22/15,Distributed Generation,Efficient Power Converters for PV Arrays,Pivot,Acquired by sunpower
Solar ADEPT,Transphorm,ALUMNI,For-profit,2/13/12,3/31/15,Distributed Generation,Efficient Switches for Solar Power Conversion,Pivot,"They make the underlying tech, but nothing explictly for solar pv"
Solar ADEPT,"University of Colorado, Boulder (CU-Boulder)",ALUMNI,Non-profit,2/9/12,8/31/15,Distributed Generation,Integrated Solar Power Converters,Pivot,
Solar ADEPT,Rutgers University SiCLAB,CANCELLED,Non-profit,12/23/11,1/20/13,Distributed Generation,New Switches for Utility Scale Inverters,Perish,"Not sure they're doing much with SiC, couldn't find any directly linked pubs"
SWITCHES,Arizona State University (ASU),ACTIVE,Non-profit,2/20/14,2/15/19,Electrical Efficiency,Diamond Power Transistors,,
SWITCHES,Columbia University,ACTIVE,Non-profit,4/1/14,7/31/19,Electrical Efficiency,Spalling GaN Transistors,,
SWITCHES,Beam Materials,ACTIVE,For-profit,3/10/14,3/31/19,Electrical Efficiency,GaN LEDs on Flexible Metal Foils,,
SWITCHES,SixPoint Materials,ACTIVE,For-profit,3/10/14,3/28/19,Electrical Efficiency,Vertical GaN Substrates,,
SWITCHES,"University of California, Santa Barbara (UCSB)",ACTIVE,Non-profit,3/10/14,6/21/19,Electrical Efficiency,Vertical GaN Devices,,
SWITCHES,Cornell University,ALUMNI,Non-profit,8/1/15,10/16/17,Electrical Efficiency,GaN Power Transistor,Pivot,"Research, not licensed?"
SWITCHES,Fairfield Crystal Technology,ALUMNI,For-profit,3/5/14,6/22/15,Electrical Efficiency,GaN Crystal Substrates,Perish,"Not for sale, no patents for GaN"
SWITCHES,HRL Laboratories,ALUMNI,For-profit,3/7/14,4/15/18,Electrical Efficiency,Vertical GaN Transistor,Persist,http://www.hrl.com/horizons/deploy/pdf/May2019.pdf
SWITCHES,Michigan State University (MSU),ALUMNI,Non-profit,2/19/14,9/30/17,Electrical Efficiency,Diamond Semiconductor Devices,Pivot,"researchy, no patent"
SWITCHES,MicroLink Devices,ALUMNI,For-profit,3/10/14,12/9/17,Electrical Efficiency,High-Power Transistor Fabrication,Perish,"nothing about GaN liftoff, using different substrates"
SWITCHES,Monolith Semiconductor,ALUMNI,For-profit,1/1/14,9/30/17,Electrical Efficiency,Advanced Manufacturing for SiC MOSFETS,Pivot,Acquired by littlefuse
SWITCHES,Soraa,ALUMNI,For-profit,2/17/14,5/17/15,Electrical Efficiency,Low-Cost GaN Substrates,Persist,
SWITCHES,Avogy,CANCELLED,For-profit,1/1/14,12/12/16,Electrical Efficiency,Vertical GaN Transistors,Perish,"Avogy collapses, IP bought by nexgen"
SWITCHES,Kyma Technologies,CANCELLED,For-profit,3/10/14,3/9/18,Electrical Efficiency,GaN Substrate Technology,Pivot,https://arpa-e.energy.gov/?q=slick-sheet-project/reliable-and-self-clamped-gan-switch
TERRA,Clemson University,ACTIVE,Non-profit,9/30/15,5/28/19,Transportation Fuels,Breeding High Yielding Bioenergy Sorghum,,
TERRA,Donald Danforth Plant Science Center,ACTIVE,,9/15/15,9/14/19,Transportation Fuels,A Reference Phenotyping System for Energy Sorghum,,
TERRA,Pacific Northwest National Laboratory (PNNL),ACTIVE,Non-profit,9/15/15,9/14/19,Transportation Fuels,The Consortium for Advanced Sorghum Phenomics (CASP),,
TERRA,Purdue University,ACTIVE,Non-profit,8/24/15,5/23/19,Transportation Fuels,Automated Sorghum Phenotyping and Trait Development Platform,,
TERRA,"University of Illinois, Urbana-Champaign (UIUC)",ACTIVE,Non-profit,10/1/15,12/31/19,Transportation Fuels,TERRA MEPP (Mobile Energy-crop Phenotyping Platform),,
TERRA,Texas A&M University,ALUMNI,Non-profit,10/1/15,10/31/18,Transportation Fuels,Automated TERRA Phenotyping System,Pivot,"No publications using the proposed gantry system, everything ended up being uav"
TRANSNET,Georgia Tech Research Corporation,ALUMNI,Non-profit,1/6/16,8/15/18,Transportation Network,Network Performance Monitoring and Distributed Simulation,Perish,"Website not working, never referenced by other research groups (they seem to cite everyone else)"
TRANSNET,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,12/11/15,9/10/18,Transportation Network,"Sustainable Travel Incentives with Prediction, Optimization and Personalization (TRIPOD)",Persist,
TRANSNET,National Renewable Energy Laboratory (NREL),ALUMNI,Non-profit,1/20/16,12/31/18,Transportation Network,The Connected Traveler: A Framework to Reduce Energy Use in Transportation,Persist,
TRANSNET,Palo Alto Research Center (PARC),ALUMNI,For-profit,12/28/15,7/27/18,Transportation Network,Collaborative Optimization and Planning for Transportation Energy Reduction (COPTER),Persist,
TRANSNET,University of Maryland (UMD),ALUMNI,Non-profit,11/23/15,8/30/18,Transportation Network,Traveler Information and Incentive Technology,Persist,