,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder3,coder1notes,coder3notes
27,Massachusetts Institute of Technology (MIT),"Massachusetts Institute of Technology (MIT) and Siemens Corporation are developing a process to separate CO<sub>2</sub> from the exhaust of coal-fired power plants by using electrical energy to chemically activate and deactivate sorbents--materials that absorb gases. The team found that certain sorbents bond to CO<sub>2</sub> when they are activated by electrical energy and then transported through a specialized separator that deactivates the molecule and releases it for storage. This method directly uses the electricity from the power plant, which is a more efficient but more expensive form of energy than heat, though the ease and simplicity of integrating it into existing coal-fired power plants reduces the overall cost of the technology. This process could cost as low as $31 per ton of CO<sub>2</sub> stored.
",2013-01-31,IMPACCT,ALUMNI,?q=slick-sheet-project/co2-capture-using-electrical-energy,2010-07-01,Massachusetts,CO2 Capture Using Electrical Energy,Resource Efficiency, ,998111,0.0,Non-profit,Perish,Persist,"Different research direction, Siemens not selling, not licensing MIT patent",
28,Northeastern University,"Northeastern University, in partnership with the Ames Laboratory, will evaluate a range of new magnetocaloric compounds (AlT<sub>2</sub>X<sub>2</sub>) for potential application in room-temperature magnetic cooling. Magnetic refrigeration is an environmentally friendly alternative to conventional vapor-compression cooling technology. The magnetocaloric effect is triggered by application and removal of an applied magnetic field--adjusting the magnetic field translates into an adjustment in the temperature of the material. The benchmark magnetocaloric materials are based on the rare earth metal gadolinium (Gd), but gadolinium is scarce in the earth's crust and prohibitively expensive. Other magnetocaloric materials have similar rarity and cost constraints, or are brittle and undergo large volume changes during magnetic transition. Volume changes are problematic because a magnetocaloric working material must maintain mechanical and magnetic integrity over 300 million cycles in a ten-year lifetime. The Northeastern-led team is proposing to explore new magnetocaloric materials, AlT<sub>2</sub>X<sub>2</sub> (where T=Fe, Mn, and/or Co, and X = B and/or C) comprised of abundant, non-toxic elements that can undergo a structural transition near room temperature. The material is projected to meet or exceed the performance of other candidate magnetocaloric materials due to its potential ease of fabrication, corrosion resistance, high mechanical integrity maintained through caloric phase change, and low heat capacity that fosters effective heat transfer. The project objectives are to ascertain the most promising compositions and magnetic field and temperature combinations to realize the optimal magnetocaloric response in this compound.

",2017-12-31,IDEAS,ALUMNI,?q=slick-sheet-project/materials-magnetocaloric-applications,2016-09-01,Massachusetts,Materials for Magnetocaloric Applications,Building Efficiency, ,500000,1.0,Non-profit,Pivot,Persist,"Research project, still not commercial",https://scholar.google.com/citations?hl=en&user=cLMm3tkAAAAJ&view_op=list_works&sortby=pubdate
29,Northeastern University,"Northeastern University is developing bulk quantities of rare-earth-free permanent magnets with an iron-nickel crystal structure for use in the electric motors of renewable power generators and EVs. These materials could offer magnetic properties that are equivalent to today's best commercial magnets, but with a significant cost reduction and diminished environmental impact. This iron-nickel crystal structure, which is only found naturally in meteorites and developed over billions of years in space, will be artificially synthesized by the Northeastern University team. Its material structure will be replicated with the assistance of alloying elements introduced to help it achieve superior magnetic properties. The ultimate goal of this project is to demonstrate bulk magnetic properties that can be fabricated at the industrial scale.
",2013-12-31,REACT,ALUMNI,?q=slick-sheet-project/iron-nickel-based-supermagnets,2012-02-24,Massachusetts,Iron-Nickel-Based Supermagnets,Resource Efficiency, ,2216836,0.0,Non-profit,Pivot,Persist,"Research, no commercialization plan",
30,Oak Ridge National Laboratory (ORNL),"Oak Ridge National Laboratory (ORNL) is developing an electromagnet-based, amplifier-like device that will allow for complete control over the flow of power within the electric grid. To date, complete control of power flow within the grid has been prohibitively expensive. ORNL's controller could provide a reliable, cost-effective solution to this problem. The team is combining two types of pre-existing technologies to assist in flow control, culminating in a prototype iron-based magnetic amplifier. Ordinarily, such a device would require expensive superconductive wire, but the magnetic iron core of ORNL's device could serve as a low-cost alternative that is equally adept at regulating power flow.

",2017-06-30,GENI,ALUMNI,?q=slick-sheet-project/magnetic-amplifier-power-flow-control,2012-02-24,Tennessee,Magnetic Amplifier for Power Flow Control,Grid, ,5496651,0.0,Non-profit,Pivot,Persist,"Licensed tech, but SPX seems to only do custom (ie expensive, not 10x cheaper) stuff",
31,Oak Ridge National Laboratory (ORNL),"The team from Oak Ridge National Laboratory (ORNL) and Georgia Institute of Technology is developing a new technology that will act like a sponge, integrating a new, alcohol-based ionic liquid into hollow fibers to capture CO<sub>2</sub> from the exhaust produced by coal-fired power plants. Ionic liquids--salts that exist in liquid form--are promising materials for carbon capture and storage, but their tendency to thicken when combined with CO<sub>2</sub> limits their efficiency and poses a challenge for their development as a cost-effective alternative to current-generation solutions. Adding alcohol to the mix limits this tendency to thicken in the presence of CO<sub>2</sub> but can also make the liquid more likely to evaporate, which would add significantly to the cost of CO<sub>2</sub> capture. To solve this problem, ORNL is developing new classes of ionic liquids with high capacity for absorbing CO<sub>2</sub>. ORNL's sponge would reduce the cost associated with the energy that would need to be diverted from power plants to capture CO<sub>2</sub> and release it for storage.

",2013-08-15,IMPACCT,ALUMNI,?q=slick-sheet-project/high-surface-area-co2-sponge,2010-07-01,Tennessee,High Surface-Area CO2 Sponge,Resource Efficiency, ,799570,0.0,Non-profit,Pivot,Persist,"Some research in CO2 capture, but totally different tech",
32,Otherlab,"Otherlab will develop an open-source tool to enable higher resolution investigation and visualization of energy flows throughout the country. The core visual component is an interactive Sankey diagram with an intuitive interface that will allow users to examine the flows of energy and materials by industry, region, and economic sector. Behind the visualizations, sophisticated algorithms will aggregate and reconcile data from a wide variety of publically available sources in various formats to present an integrated view of energy and material imports, exports, and flows in the U.S. economy. The project's aim is to characterize these flows to an unprecedented resolution of 0.1% of the U.S. energy economy. The tool will incorporate both the specificity and comprehensiveness necessary to aid decision makers across the energy industry in identifying opportunities and planning energy research and technology development. By maintaining the tool in an open-source format, developers from across the country can assist in providing additional input on data sources, processing algorithms, and visualizations to improve accuracy and usability. Producing the open-source visualization tool will require three interdependent tasks. First, energy data will be collected, verified, and prepared for use. Next, the team will conduct user interface work and usability studies to ensure that the output reaches the broadest audience in the most useful manner. Finally, the team will pursue its final implementation as a web-based tool.

",2018-03-19,IDEAS,ALUMNI,?q=slick-sheet-project/visualizing-energy-data,2017-03-01,California,Visualizing Energy Dat,Grid, ,494247,1.0,For-profit,Perish,Persist,we paid $500k for this?,
33,Pacific Northwest National Laboratory (PNNL),"Pacific Northwest National Laboratory (PNNL) is working to reduce the cost of wind turbines and EVs by developing a manganese-based nano-composite magnet that could serve as an inexpensive alternative to rare-earth-based magnets. The manganese composite, made from low-cost and abundant materials, could exceed the performance of today's most powerful commercial magnets at temperature higher than 200?C. Members of PNNL's research team will leverage comprehensive computer high-performance supercomputer modeling and materials testing to meet this objective. Manganese-based magnets could withstand higher temperatures than their rare earth predecessors and potentially reduce the need for any expensive, bulky engine cooling systems for the motor and generator. This would further contribute to cost savings for both EVs and wind turbines.

",2015-09-30,REACT,ALUMNI,?q=slick-sheet-project/manganese-based-magnets,2012-01-01,Washington,Manganese-Based Magnets,Resource Efficiency, ,5387368,0.0,Non-profit,Pivot,Persist,"Research focus, still needs work to commercialize",also looks at other candidate materials
34,Palo Alto Research Center (PARC),"Palo Alto Research Center (PARC) is developing high performance, low-cost thermoelectric devices on flexible substrates that will enable the capture of low-temperature waste heat (100?C to 250?C), an abundant and difficult-to-harness energy resource. PARC's innovative manufacturing process is based on their co-extrusion printing technology which can simultaneously deposit different materials at high speed thereby facilitating fast, large-area production at low cost. Flexible thermoelectric devices will broaden their utility to applications on non-flat surfaces such as wrapping heat transfer piping. Additionally, since thermoelectrics can be applied directly onto most waste heat sources, expensive heat exchangers to transfer heat to a generator are unnecessary. PARC's existing co-extrusion printing technology, paired with partner Novus Energy's nanomaterials, is uniquely suited for the development of Large Area Thermoelectric Generator (LATEG) technology on flexible substrates, as it allows for the optimization of microscale device structures while maintaining the nanoscale properties of the materials through a process that is scalable to low cost, large-area manufacturing. If successful, development and deployment of efficient flexible thermoelectric technologies would enable recapture of a large amount of wasted energy in the U.S. industrial sector.  <br/>
",2017-03-31,IDEAS,ALUMNI,?q=slick-sheet-project/large-area-thermoelectric-generators,2015-12-17,California,Large-Area Thermoelectric Generators,Resource Efficiency, ,499834,1.0,For-Profit,Pivot,Persist,"Still not quite cheap enough, but might be in-use for niche applicatins",
35,Palo Alto Research Center (PARC),"Palo Alto Research Center (PARC), working with SPX Cooling Technologies, is developing a low-cost, passive radiative cooling panel for supplemental dry cooling at power plants. PARC's envisioned end product is a cooling module, consisting of multiple radiative cooling panels tiled over large, enclosed water channels that carry water from an initial cooling system, such as a dry-cooling tower. The cooling panel consists of a two-layer structure in which a reflective film sits atop a unique metamaterial-based emitter. In this architecture, the top layer completely reflects sunlight while the bottom layer effectively emits infrared radiation through a spectral window in the earth's atmosphere. This combination enables radiative cooling of the water even in full illumination by the sun. The cooling panel will be made using a lithography-free process compatible with roll-to-roll fabrication. In a large-scale system, the water temperature at the outlet of the cooling module is expected to be 8oC cooler than the temperature of the water at the inlet, which will result in a 3% efficiency gain for the power plant.
",2017-05-05,ARID,ALUMNI,?q=slick-sheet-project/radiative-film-supplemental-cooling-0,2015-08-06,California,Radiative Film for Supplemental Cooling,Resource Efficiency, ,999999,0.0,For-profit,Perish,Persist,"PARC has some patents, but its not clear that their implementation partner is actually making this stuff, main research guy at parc left",
36,Pennsylvania State University (Penn State),"Pennsylvania State University (Penn State) is designing a freezer that substitutes the use of sound waves and environmentally benign refrigerant for synthetic refrigerants found in conventional freezers. Called a thermoacoustic chiller, the technology is based on the fact that the pressure oscillations in a sound wave result in temperature changes. Areas of higher pressure raise temperatures and areas of low pressure decrease temperatures. By carefully arranging a series of heat exchangers in a sound field, the chiller is able to isolate the hot and cold regions of the sound waves. Penn State's chiller uses helium gas to replace synthetic refrigerants. Because helium does not burn, explode or combine with other chemicals, it is an environmentally-friendly alternative to other polluting refrigerants. Penn State is working to apply this technology on a large scale.
",2014-07-31,BEETIT,ALUMNI,?q=slick-sheet-project/helium-based-soundwave-chiller,2010-09-01,Pennsylvania,Helium-Based Soundwave Chiller,Building Efficiency, ,3233147,0.0,Non-profit,Perish,Persist,,"https://scholar.google.com/scholar?as_ylo=2015&q=Robert+Keolian&hl=en&as_sdt=0,31"
37,Physical Sciences Inc. (PSI),"Physical Sciences, Inc. (PSI), in conjunction with Heath Consultants Inc., Princeton University, the University of Houston, and Thorlabs Quantum Electronics, Inc., will miniaturize their laser-based Remote Methane Leak Detector (RMLD) and integrate it with PSI's miniature unmanned aerial vehicle (UAV), known as the InstantEye, to create the RMLD-Sentry. The measurement system is planned to be fully autonomous, providing technical and cost advantages compared to manual leak detection methods. The team anticipates that the system would have the ability to measure ethane, as well as methane, which would allow it to distinguish biogenic from thermogenic sources. The RMLD-Sentry is planned to locate wellpad leak sources and quantify emission rates by periodically surveying the wellpad, circling the facility at a low altitude, and dynamically changing its flight pattern to focus in on leak sources. When not in the air, RMLD-Sentry would monitors emissions around the perimeter of the site. If methane is detected, the UAV would self-deploy and search the wellpad until the leak location is identified and flow rate is quantified using algorithms to be developed by the team. PSI's design is anticipated to facilitate up to a 95% reduction in methane emissions at natural gas sites at an annualized cost of about $2,250 a year - a fraction of the cost of current systems that allow for continuous monitoring. In addition to requiring less manpower for continuous monitoring, the team expects to develop techniques to reduce manufacturing costs for the laser sources by applying economies of scale and streamlined manufacturing processes.
",2018-12-31,MONITOR,ALUMNI,?q=slick-sheet-project/methane-leak-detection-system,2015-04-16,Massachusetts,Methane Leak Detection System,Resource Efficiency, ,2948259,0.0,For-profit,Pivot,Persist,,
38,Porifera,"Porifera is developing carbon nanotube membranes that allow more efficient removal of CO<sub>2</sub> from coal plant exhaust. Most of today's carbon capture methods use chemical solvents, but capture methods that use membranes to draw CO<sub>2</sub> out of exhaust gas are potentially more efficient and cost effective. Traditionally, membranes are limited by the rate at which they allow gas to flow through them and the amount of CO<sub>2</sub> they can attract from the gas. Smooth support pores and the unique structure of Porifera's carbon nanotube membranes allows them to be more permeable than other polymeric membranes, yet still selective enough for CO<sub>2</sub> removal. This approach could overcome the barriers facing membrane-based approaches for capturing CO<sub>2</sub> from coal plant exhausts.
",2013-03-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/carbon-nanotube-membranes,2010-03-01,California,Carbon Nanotube Membranes,Resource Efficiency, ,1153974,1.0,For-profit,Perish,Pivot,Nothing for CO2 removal,"has potential, but need CO2 capture regs; see more potential in alt energy-water membrane"
39,Rebellion Photonics,"Rebellion Photonics plans to develop portable methane gas cloud imagers that can wirelessly transmit real-time data to a cloud-based computing service. This would allow data on the concentration, leak rate, location, and total emissions of methane to be streamed to a mobile device, like an iPad, smartphone, or Google Glass. The infrared imaging spectrometers will leverage snapshot spectral imaging technology to provide multiple bands of spectral information for each pixel in the image. Similar to a Go Pro camera, the miniature, lightweight camera is planned to be attached to a worker's hardhat or clothing, allowing for widespread deployment. By providing a real-time image of the plume to a mobile device, the technology's goal is to provide increased awareness of leaks for faster leak repair. This system could enable significant reduction in the cost associated with identifying, quantifying, and locating methane leaks as compared to currently available technologies.

",2018-08-15,MONITOR,ALUMNI,?q=slick-sheet-project/portable-methane-detection-system,2015-04-16,Texas,Portable Methane Detection System,Resource Efficiency, ,4255000,0.0,For-profit,Pivot,Persist,,
40,Rensselaer Polytechnic Institute (RPI),"Rensselaer Polytechnic Institute (RPI) is working to develop and demonstrate a new bi-directional transistor switch that would significantly simplify the power conversion process for high-voltage, high-power electronics systems. A transistor switch helps control electricity, converting it from one voltage to another or from an Alternating Current (A/C) to a Direct Current (D/C). High-power systems, including solar and wind plants, usually require multiple switches to convert energy into electricity that can be transmitted through the grid. These multi-level switch configurations are costly and complex, which drives down their overall efficiency and reliability. RPI's new switch would require fewer components than conventional high-power switches. This simple design would in turn simplify the overall power conversion process and enable renewable energy sources to more easily connect to the grid.
",2016-03-06,OPEN 2012,ALUMNI,?q=slick-sheet-project/high-power-transistor-switch,2013-03-07,New York,High-Power Transistor Switch,Grid, ,803907,1.0,Non-profit,Pivot,Persist,No pubs directly tied to project,active research agenda
41,Sandia National Laboratories,"Sandia National Laboratories is working with several commercial and university partners to develop software for market management systems (MMSs) that enable greater use of renewable energy sources throughout the grid. MMSs are used to securely and optimally determine which energy resources should be used to service energy demand across the country. Contributions of electricity to the grid from renewable energy sources such as wind and solar are intermittent, introducing complications for MMSs, which have trouble accommodating the multiple sources of price and supply uncertainties associated with bringing these new types of energy into the grid. Sandia's software will bring a new, probability-based formulation to account for these uncertainties. By factoring in various probability scenarios for electricity production from renewable energy sources in real time, Sandia's formula can reduce the risk of inefficient electricity transmission, save ratepayers money, conserve power, and support the future use of renewable energy.
",2015-01-16,GENI,ALUMNI,?q=slick-sheet-project/probability-based-software-grid-optimization,2012-04-01,New Mexico,Probability-Based Software for Grid Optimization,Grid, ,2998886,0.0,Non-profit,Persist,Perish,"Made a model, still in use?","nothing within last three years, although PI is active"
42,Sheetak,"Sheetak is developing a thermoelectric-based solid state cooling system that is more efficient, more reliable, and more affordable than today's best systems. Many air conditioners are based on vapor compression, in which a liquid refrigerant circulates within the air conditioner, absorbs heat, and then pumps it out into the external environment. Sheetak's system, by contrast, relies on an electrical current passing through the junction of two different conducting materials to change temperature. Sheetak's design uses proprietary thermoelectric materials to achieve significant energy efficiency and, unlike vapor compression systems, contains no noisy moving parts or polluting refrigerants. Additionally, Sheetak's air conditioner would be made with some of the same manufacturing processes used to produce semiconductor chips, which could lead to less material use and facilitate more affordable production.
",2015-06-30,BEETIT,ALUMNI,?q=slick-sheet-project/high-efficiency-solid-state-cooling-technologies,2010-09-01,Texas,High-Efficiency Solid State Cooling Technologies,Building Efficiency, ,3789025,0.0,For-profit,Perish,Persist,Chip cooling/cooler scale,
43,SRI International,"SRI International and PPG Industries are integrating SRI's proprietary Spectrally Tuned All-Polymer Technology for Inducing Cooling (STATIC) technology into a novel structure for use as a radiative cooling system that can provide supplemental cooling for power plant water during the daytime or nighttime. The two-layer polymer structure covers a pool holding power plant condenser discharge water. The cover prevents sunlight from penetrating it and warming the water, while allowing thermal energy to radiate to the sky, even during the day. The STATIC structure provides an insulating air gap to prevent conductive and convective heating, and both layers work in concert to reject solar energy. Specifically, the bottom layer acts as an emitter at the water temperature and radiates heat to the sky, while the top layer and key component, produced using STATIC technology, enables transmittance of the thermal radiation. The cooling power can achieve greater than 100 W/m2 without evaporation. All materials are inexpensive and amenable to scalable manufacturing techniques, which could lower the cost of the system.
",2017-06-06,ARID,ALUMNI,?q=slick-sheet-project/radiative-film-supplemental-cooling,2015-08-05,California,Radiative Film for Supplemental Cooling,Resource Efficiency, ,674852,0.0,Non-profit,Perish,Persist,"making stuff, but unclear if anyone is buying",could also be Pivot; used in commercial applications as well as initial bid application of power plants
44,SRI International,"SRI International will develop a highly efficient, wearable thermal regulation system that leverages the human body's natural thermal regulation areas such as the palms of the hands, soles of feet, and upper facial area. This innovative ""active textile"" technology is enabled by a novel combination of low-cost electroactive and passive polymer materials and structures to efficiently manage heat transfer while being quiet and comfortable. SRI's electronically controllable active textile technology is versatile - allowing the wearer to continue to use their existing wardrobe. We believe that these features will allow for products that augment wearable technologies and thus achieve the widespread adoption needed to save energy on a large scale.
",2018-09-30,DELTA,ALUMNI,?q=slick-sheet-project/wearable-electroactive-textile,2015-05-01,California,Wearable Electroactive Textile,Building Efficiency, ,3853224,0.0,Non-profit,Pivot,Persist,https://science.sciencemag.org/content/357/6356/1130,
45,Stanford University,"A team of researchers from more than 10 departments at Stanford University is collaborating to transform the way Americans interact with our energy-use data. The team built a web-based platform that collects historical electricity data, which it uses to perform a variety of experiments to learn what triggers people to respond. Experiments include new financial incentives, a calculator to understand the potential savings of efficient appliances, new Facebook interface designs, communication studies using Twitter, and educational programs with the Girl Scouts. Economic modeling is underway to better understand how results from the San Francisco Bay Area can be broadened to other parts of the country.

",2016-11-30,OPEN 2009,ALUMNI,?q=slick-sheet-project/behavioral-initiatives-energy-efficiency,2010-01-14,California,Behavioral Initiatives for Energy Efficiency,Resource Efficiency, ,8461360,1.0,Non-profit,Perish,Persist,Funded studies of behaviorial stuff,received follow on funding and produced report; was successful but unclear if it is still ongoing as it is not really a technology
46,Stanford University,"Stanford University is developing a device for the rooftops of buildings and cars that will reflect sunlight and emit heat, enabling passive cooling, even when the sun is shining. This device requires no electricity or fuel and would reduce the need for air conditioning, leading to energy and cost savings. Stanford's technology relies on recently developed state-of-the-art concepts and techniques to tailor the absorption and emission of light and heat in nanostructured materials. This project could enable buildings, cars, and electronics to cool without using electric power.
",2018-03-19,OPEN 2012,ALUMNI,?q=slick-sheet-project/radiative-coolers-rooftops-and-cars,2013-02-20,California,Radiative Coolers for Rooftops and Cars,Building Efficiency, ,2943851,1.0,Non-profit,Pivot,Persist,"no real market, just research",nature article about its success
47,Sun Catalytix,"Sun Catalytix is developing wireless energy-storage devices that convert sunlight and water into renewable fuel. Learning from nature, one such device mimics the ability of a tree leaf to convert sunlight into storable energy. It is comprised of a silicon solar cell coated with catalytic materials, which help speed up the energy conversion process. When this cell is placed in a container of water and exposed to sunlight, it splits the water into bubbles of oxygen and hydrogen. The hydrogen and oxygen can later be recombined to create electricity, when the sun goes down for example. The Sun Catalytix device is novel in many ways: it consists primarily of low-cost, earth-abundant materials where other attempts have required more expensive materials like platinum. Its operating conditions also facilitate the use of less costly construction materials, whereas other efforts have required extremely corrosive conditions.

",2012-12-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/energy-water-and-sunlight,2009-12-31,Massachusetts,Energy from Water and Sunlight,Resource Efficiency, ,4085346,1.0,For-profit,Perish,Persist,,acquired by Lockheed Martin; unclear if this particular tech Persists
48,Texas Engineering Experiment Station (TEES),"Texas Engineering Experiment Station (TEES)?is using topology control as a mechanism to improve system operations and manage disruptions within the electric grid. The grid is subject to interruption from cascading faults caused by extreme operating conditions, malicious external attacks, and intermittent electricity generation from renewable energy sources. The Robust Adaptive Topology Control (RATC) system is capable of detecting, classifying, and responding to grid disturbances by reconfiguring the grid in order to maintain economically efficient operations while guaranteeing reliability. The RATC system would help prevent future power outages, which account for roughly $80 billion in losses for businesses and consumers each year. Minimizing the time it takes for the grid to respond to expensive interruptions will also make it easier to integrate intermittent renewable energy sources into the grid.
",2015-06-30,GENI,ALUMNI,?q=slick-sheet-project/automated-grid-disruption-response-system,2012-03-01,Texas,Automated Grid Disruption Response System,Grid, ,4878173,0.0,Non-profit,Pivot,Perish,"Made a model, don't think its an active control technology, but in simulator","research group active, but nothing for RATC project in the past three years"
49,The Ohio State University,"The Ohio State University has developed an iron-based material and process for converting syngas--a synthetic gas mixture--into electricity, H2, and/or liquid fuel with zero CO<sub>2</sub> emissions. Traditional carbon capture methods use chemical solvents or special membranes to separate CO<sub>2</sub> from the gas exhaust from coal-fired power plants. Ohio State's technology uses an iron-based oxygen carrier to generate CO<sub>2</sub> and H2 from syngas in separate, pure product streams by means of a circulating bed reactor configuration. The end products of the system are H2, electricity, and/or liquid fuel, all of which are useful sources of power that can come from coal or syngas derived from biomass. Ohio State is developing a high-pressure pilot-scale unit to demonstrate this process at the National Carbon Capture Center.
",2014-09-30,OPEN 2009,ALUMNI,?q=slick-sheet-project/syngas-fuel,2010-04-01,Ohio,Syngas into Fuel,Resource Efficiency, ,7099904,1.0,Non-profit,Pivot,Persist,"They tested at the NCCC facility, had some early projects with Southern Co (presumably to use their coal syngas) but syngas production still an issue",additional funding
50,The State University of New York (SUNY) at Stony Brook,"The State University of New York (SUNY) at Stony Brook will develop eSAVER,  an active air conditioning vent capable of modulating airflow distribution, velocity, and temperature to promote localized thermal envelopes around building occupants. Stony Brook's smart vent modulates the airflow using an array of electro-active polymer tubes that are individually controlled to create a localized curtain of air to suit the occupant's heating or cooling needs. The eSAVER can immediately be implemented by simply replacing an existing HVAC register with the new unit or can be installed in new constructions for significant reduction in HVAC system size,construction cost,and further improvement in energy efficiency.The project team estimates this will result in upwards of 30% energy savings through directed localization of existing building heating/cooling output.
",2018-07-30,DELTA,ALUMNI,?q=slick-sheet-project/electroactive-smart-air-conditioner-vent-registers-esaver,2015-05-05,New York,Electroactive Smart Air-Conditioner VEnt Registers (eSAVER),Building Efficiency, ,1360630,0.0,Non-profit,Pivot,Persist,Focusing on sensors,
51,Triton Systems,"Triton Systems will develop and demonstrate a high efficiency windowpane system that will encourage retrofitting of single-pane windows. Triton's Multifunctional Glazing System (MGS) will potentially provide a better balance of performance with cost and weight versus double-pane insulated glass units. The system combines a nanoparticle-polymer composite film with an insulating layer of a porous material filled with air, to provide thermal insulation. The team will enhance the pane's durability by incorporating a nanocomposite edge seal. The thickness of the MGS will be less than ? inch, ensuring its compatibility with most single-pane window sashes as a direct glazing replacement.

",2018-03-13,SHIELD,ALUMNI,?q=slick-sheet-project/multifunctional-glazing-system,2017-02-06,Massachusetts,Multifunctional Glazing System,Building Efficiency, ,3224500,0.0,For-profit,Perish,Persist,"Only patent is from before arpa-e, no products",can't find on business website
52,United Technologies Research Center (UTRC),"United Technologies Research Center (UTRC) is developing an air conditioning system that is optimized for use in warm and humid climates. UTRC's air conditioning system integrates a liquid drying agent or desiccant and a traditional vapor compression system found in 90% of air conditioners. The drying agent reduces the humidity in the air before it is cooled, using less energy. The technology uses a membrane as a barrier between the air and the liquid salt stream allowing only water vapor to pass through and not the salt molecules. This solves an inherent problem with traditional liquid desiccant systems--carryover of the liquid drying agent into the conditioned air stream--which eliminates corrosion and health issues.
",2014-08-31,BEETIT,ALUMNI,?q=slick-sheet-project/liquid-desiccant-air-conditioners,2010-09-02,Connecticut,Liquid Desiccant in Air Conditioners,Building Efficiency, ,3079168,0.0,For-profit,Perish,Persist,No products match this description,
