,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder3,coder1notes,coder3notes
53,University of Alabama,"The University of Alabama is developing new iron- and manganese-based composite materials for use in the electric motors of EVs and renewable power generators that will demonstrate magnetic properties superior to today's best rare-earth-based magnets. Rare earths are difficult and expensive to refine. EVs and renewable power generators typically use rare earths to make their electric motors smaller and more powerful. The University of Alabama has the potential to improve upon the performance of current state-of-the-art rare-earth-based magnets using low-cost and more abundant materials such as manganese and iron. The ultimate goal of this project is to demonstrate improved performance in a full-size prototype magnet at reduced cost.
",2013-09-30,REACT,ALUMNI,?q=slick-sheet-project/rare-earth-free-nanostructure-magnets,2012-02-08,Alabama,Rare-Earth-Free Nanostructure Magnets,Resource Efficiency, ,712950,0.0,Non-profit,Pivot,Persist,,
54,"University of California, Berkeley (UC Berkeley)","The University of California, Berkeley (UC Berkeley) is developing a method for identifying the best metal organic frameworks for use in capturing CO<sub>2</sub> from the flue gas of coal-fired power plants. Metal organic frameworks are porous, crystalline compounds that, based on their chemical structure, vary considerably in terms of their capacity to grab hold of passing CO<sub>2</sub> molecules and their ability to withstand the harsh conditions found in the gas exhaust of coal-fired power plants. Owing primarily to their high tunability, metal organic frameworks can have an incredibly wide range of different chemical and physical properties, so identifying the best to use for CO<sub>2</sub> capture and storage can be a difficult task. UC Berkeley uses high-throughput instrumentation to analyze nearly 100 materials at a time, screening them for the characteristics that optimize their ability to selectively adsorb CO<sub>2</sub> from coal exhaust. Their work will identify the most promising frameworks and accelerate their large-scale commercial development to benefit further research into reducing the cost of CO<sub>2</sub> capture and storage.

",2015-09-25,IMPACCT,ALUMNI,?q=slick-sheet-project/metal-organic-framework-research,2010-07-01,California,Metal Organic Framework Research,Resource Efficiency, ,4960431,0.0,Non-profit,Pivot,Persist,Focusing on biomethane,
55,"University of California, Berkeley (UC Berkeley)","The University of California, Berkeley (UC Berkeley) will team with WiTricity to develop and integrate highly resonant wireless power transfer technology to deliver efficient local thermal amenities to the feet, hands, face, and trunk of occupants in workstations.  Until now, local comfort devices have had little market traction because they had to be tethered by a cord to a power source.  The team will leverage on-going developments in wireless charging systems for consumer electronics to integrate high-efficiency power transmitting devices with local comfort devices such as heated shoe insoles and cooled and heated office chairs. The team will develop four types of local comfort devices to  deliver heating and cooling  most effectively. The devices will draw very little electrical power and enable potential HVAC energy savings of at least 30%.

",2018-06-30,DELTA,ALUMNI,?q=slick-sheet-project/wirelessly-powered-heating-and-cooling-devices,2015-05-14,California,Wirelessly Powered Heating and Cooling Devices,Building Efficiency, ,2618462,0.0,Non-profit,Perish,Persist,Witricity (partner) focusing on automotive charging,
56,"University of California, Irvine (UC Irvine)","The University of California, Irvine (UC Irvine) will develop a dynamically adjustable thermoregulatory fabric. This fabric leverages established heat-managing capabilities of space blankets and color-changing polymers inspired by squid skin that will provide wearers with the unique ability to adaptively harness their own individual radiant heat production. This technology holds the potential to establish an entirely new line of personal apparel and localized thermal management products that could significantly reduce the energy required to heat and cool buildings.

",2018-04-19,DELTA,ALUMNI,?q=slick-sheet-project/thermocomfort-cloth,2015-04-20,California,Thermocomfort Cloth,Building Efficiency, ,2367426,0.0,Non-profit,Pivot,Persist,,
57,"University of California, Los Angeles (UCLA)","The University of California, Los Angeles (UCLA) is developing a novel solid state cooling technology to translate a recent scientific discovery of the so-called giant electrocaloric effect into commercially viable compact cooling systems. Traditional air conditioners use noisy, vapor compression systems that include a polluting liquid refrigerant to circulate within the air conditioner, absorb heat, and pump the heat out into the environment. Electrocaloric materials achieve the same result by heating up when placed within an electric field and cooling down when removed--effectively pumping heat out from a cooler to warmer environment. This electrocaloric-based solid state cooling system is quiet and does not use liquid refrigerants. The innovation includes developing nano-structured materials and reliable interfaces for heat exchange. With these innovations and advances in micro/nano-scale manufacturing technologies pioneered by semiconductor companies, UCLA is aiming to extend the performance/reliability of the cooling module.
",2012-09-30,BEETIT,ALUMNI,?q=slick-sheet-project/compact-solid-state-cooling-systems,2010-10-01,California,Compact Solid State Cooling Systems,Building Efficiency, ,520547,0.0,Non-profit,Pivot,Persist,,
58,"University of California, San Diego (UC San Diego)","The University of California, San Diego (UC San Diego) will develop smart responsive garments that enable building occupants to adjust their personal temperature settings and promote thermal comfort to reduce or eliminate the need for building-level air conditioning. The essence of building energy savings in UC San Diego's approach is based on the significant energy consumption reduction from the traditional global cooling/heating of the whole room space. This is done via localized cooling and heating only in the wearable structure in the very limited space near a person's skin. This smart textile will thermally regulate the garment's heat transport through changes in thickness and pore architecture by shrinking the textile when hot and expanding it when cold.
",2018-09-06,DELTA,ALUMNI,?q=slick-sheet-project/adaptive-textiles-technology,2015-05-07,California,Adaptive Textiles Technology,Building Efficiency, ,2600000,0.0,Non-profit,Pivot,Persist,more on sensing than temperature regulation,
59,"University of Colorado, Boulder (CU-Boulder)","Researchers from the University of Colorado, Boulder (CU-Boulder) will develop Radicold, a radiative cooling and cold water storage system to enable supplemental cooling for thermoelectric power plants. In the Radicold system, condenser water circulates through a series of pipes and passes under a number of cooling modules before it is sent to the central water storage unit. Each cooling module consists of a novel radiative-cooling surface integrated on top of a thermosiphon, thereby simultaneously cooling the water and eliminating the need for a pump to circulate it. The microstructured polymer film discharges heat from the water by radiating in the infrared through the Earth's atmosphere into the heat sink of cold, deep space. Below the film, a metal film reflects all incoming sunlight. This results in cooling with a heat flux of more than 100 W/m2 during both day and nighttime operation. CU-Boulder will use roll-to-roll manufacturing, a low-cost manufacturing technique that is capable of high-volume production, to fabricate the microstructured RadiCold film.
",2018-09-30,ARID,ALUMNI,?q=slick-sheet-project/radiative-cooling-and-cold-storage,2015-07-31,Colorado,Radiative Cooling and Cold Storage,Resource Efficiency, ,2998642,0.0,Non-profit,Pivot,Persist,"Seems like they're sort of still going, but not really targeting thermal power plants (as targeted)",
60,"University of Colorado, Boulder (CU-Boulder)","Alongside Los Alamos National Laboratory and the Electric Power Research Institute, the University of Colorado, Boulder (CU-Boulder) is developing a membrane made of a gelled ionic liquid to capture CO<sub>2</sub> from the exhaust of coal-fired power plants. The membranes are created by spraying the gelled ionic liquids in thin layers onto porous support structures using a specialized coating technique. The new membrane is highly efficient at pulling CO<sub>2</sub> out of coal-derived flue gas exhaust while restricting the flow of other materials through it. The design involves few chemicals or moving parts and is more mechanically stable than current technologies. The team is now working to further optimize the gelled materials for CO<sub>2</sub> separation and create a membrane layer that is less than 1 micrometer thick.
",2014-07-31,IMPACCT,ALUMNI,?q=slick-sheet-project/gelled-ionic-liquid-based-membranes,2011-02-01,Colorado,Gelled Ionic Liquid-Based Membranes,Resource Efficiency, ,3650557,0.0,Non-profit,Pivot,Persist,"Gelled ionic liquids didn't really work, combining with membranes",https://www.osti.gov/biblio/1046664-gelled-ionic-liquid-based-membranes-achieving-gpu-permeance-post-combustion-carbon-capture-gelled-ionic-liquid-based-membranes
61,University of Florida,"The University of Florida is improving a refrigeration system that uses low-quality heat to provide the energy needed to drive cooling. This system, known as absorption refrigeration system (ARS), typically consists of large coils that transfer heat. Unfortunately, these large heat exchanger coils are responsible for bulkiness and high cost of ARS. The University of Florida is using new materials as well as system design innovations to develop nanoengineered membranes to allow for enhanced heat exchange that reduces bulkiness. This design allows for compact, cheaper, and more reliable use of ARS that use solar or waste heat.
",2015-08-31,BEETIT,ALUMNI,?q=slick-sheet-project/membrane-based-absorption-refrigeration-systems,2010-09-01,Florida,Membrane-Based Absorption Refrigeration Systems,Building Efficiency, ,2647952,0.0,Non-profit,Pivot,Persist,"No partner/info about partnership, publication focus has changed",
62,"University of Illinois, Urbana-Champaign (UIUC)","The University of Illinois, Urbana-Champaign (UIUC) is experimenting with silicon-based materials to develop flexible thermoelectric devices--which convert heat into energy--that can be mass-produced at low cost. A thermoelectric device, which resembles a computer chip, creates electricity when a different temperature is applied to each of its sides. Existing commercial thermoelectric devices contain the element tellurium, which limits production levels because tellurium has become increasingly rare. UIUC is replacing this material with microscopic silicon wires that are considerably cheaper and could be equally effective. Improvements in thermoelectric device production could return enough wasted heat to add up to 23% to our current annual electricity production.

",2012-08-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/silicon-based-thermoelectrics,2010-03-01,Illinois,Silicon-Based Thermoelectrics,Resource Efficiency, ,1714280,1.0,Non-profit,Perish,Persist,"Listed as past project, partner is a healthcare company",continued publication as of 2016
63,University of Maryland (UMD),"Led by Dr. YuHuang Wang, the ""Meta Cooling Textile (MCT)"" project team at the University of Maryland (UMD) is developing a thermally responsive clothing fabric that extends the skin's thermoregulation ability to maintain comfort in hotter or cooler office settings. Commercial wearable localized thermal management systems are bulky, heavy, and costly. MCT marks a potentially disruptive departure from current technologies by providing clothing with active control over the primary channels for energy exchange between the body and the environment. In hotter surroundings, the fabric's pores open up to increase ventilation while changes in the microstructure of the fabric increase the amount of energy transmitted through the fabric from the wearer. In cooler conditions, these effects are reversed to increase the garment's ability to insulate the wearer. The added bidirectional regulation capacity will enable the wearer to expand their thermal comfort range and thus relax the temperature settings in building.
",2018-09-30,DELTA,ALUMNI,?q=slick-sheet-project/meta-cooling-textile,2015-05-01,Marylan,Meta-Cooling Textile,Building Efficiency, ,3082002,0.0,Non-profit,Pivot,Persist,This was a research project,
64,University of Maryland (UMD),"The University of Maryland (UMD) is developing an energy-efficient cooling system that eliminates the need for synthetic refrigerants that harm the environment. More than 90% of the cooling and refrigeration systems in the U.S. today use vapor compression systems which rely on liquid to vapor phase transformation of synthetic refrigerants to absorb or release heat. Thermoelastic cooling systems, however, use a solid-state material--an elastic shape memory metal alloy--as a refrigerant and a solid to solid phase transformation to absorb or release heat. UMD is developing and testing shape memory alloys and a cooling device that alternately absorbs or creates heat in much the same way as a vapor compression system, but with significantly less energy and a smaller operational footprint.
",2017-03-06,BEETIT,ALUMNI,?q=slick-sheet-project/elastic-metal-alloy-refrigerants,2010-10-01,Marylan,Elastic Metal Alloy Refrigerants,Building Efficiency, ,3336156,0.0,Non-profit,Pivot,Persist,,
65,University of Michigan,"The University of Michigan, with partners from Los Alamos National Laboratory, the California Institute of Technology, and Columbia University, will develop a transmission system data set with greater reliability, size, and scope compared to current models. The project combines existing power systems data with advanced obfuscation techniques to anonymize the data while still creating realistic models. In addition, the project delivers year-long test cases that capture grid network behavior over time, enabling the analysis of optimization algorithms over different time scales. These realistic datasets will be used to develop synthetic test cases to examine the scalability and robustness of optimization algorithms. The team is also developing a new format for capturing power system model data using JavaScript Object Notation and will provide open-source tools for data quality control and validation, format translation, synthetic test case generation, and obfuscation. Finally, the project aims at developing an infrastructure for ensuring replicable research and easing experimentation, using the concept of virtual machines to enable comparison of algorithms as hardware and software evolve over time.

",2018-11-26,GRID DATA,ALUMNI,?q=slick-sheet-project/transmission-system-data-set,2016-05-27,Michigan,Transmission System Data Set,Grid, ,1418845,0.0,Non-profit,Perish,Persist,Nothing posted to repository,
66,University of Minnesota (UMN),"The University of Minnesota (UMN) is developing an early stage prototype of an iron-nitride permanent magnet material for EVs and renewable power generators. This new material, comprised entirely of low-cost and abundant resources, has the potential to demonstrate the highest energy potential of any magnet to date. This project will provide the basis for an entirely new class of rare-earth-free magnets capable of generating power without costly and scarce rare earth materials. The ultimate goal of this project is to demonstrate a prototype with magnetic properties exceeding state-of-the-art commercial magnets.
",2015-09-30,REACT,ALUMNI,?q=slick-sheet-project/iron-nitride-based-magnets,2012-01-01,Minnesota,Iron-Nitride-Based Magnets,Resource Efficiency, ,4250931,0.0,Non-profit,Pivot,Persist,Research-based,
67,University of Minnesota (UMN),"The University of Minnesota (UMN) is developing an ultra-thin separation membrane to decrease the cost of producing biofuels, plastics, and other industrial materials. Nearly 6% of total U.S. energy consumption comes from the energy used in separation and purification processes. Today's separation methods used in biofuels production are not only energy intensive, but also very expensive. UMN is developing a revolutionary membrane technology based on a recently discovered class of ultra-thin, porous, materials that will enable energy efficient separations necessary to prepare biofuels that would also be useful in the chemical, petrochemical, water purification, and fossil fuel industries. These membranes, made from nanometer-thick layers of silicon dioxide, are highly selective in separating nearly-identical chemicals and can handle high flow rates of the chemicals. When fully developed, these membranes could substantially reduce the amount and cost of energy required in the production of biofuels and many other widely used industrial chemicals.
",2016-09-21,OPEN 2012,ALUMNI,?q=slick-sheet-project/ultra-thin-membranes-biofuels-production,2013-03-22,Minnesota,Ultra-Thin Membranes for Biofuels Production,Resource Efficiency, ,1765334,1.0,Non-profit,Pivot,Persist,"lots of membrane research, very little on commercialization/applications",
68,University of North Dakota Energy & Environmental Research Center (UND-EERC),"University of North Dakota Energy &amp; Environmental Research Center (UND-EERC) is developing an air-cooling alternative for power plants that helps maintain operating efficiency during electricity production with low environmental impact. The project addresses the shortcomings of conventional dry cooling, including high cost and degraded cooling performance during daytime temperature peaks. UND-EERC's device would use an air-cooled adsorbent liquid that results in more efficient power production with no water consumption. The technology could be applied to a broad range of plants including fossil, nuclear, solar thermal, and geothermal.
",2014-06-30,OPEN 2012,ALUMNI,?q=slick-sheet-project/water-efficient-power-generation,2013-04-01,North Dakota,Water-Efficient Power Generation,Resource Efficiency, ,471353,1.0,Non-profit,Pivot,Persist,,
69,University of Notre Dame,"The University of Notre Dame is developing a new CO<sub>2</sub> capture process that uses special ionic liquids (ILs) to remove CO<sub>2</sub> from the gas exhaust of coal-fired power plants. ILs are salts that are normally liquid at room temperature, but Notre Dame has discovered a new class of ILs that are solid at room temperature and change to liquid when they bind to CO<sub>2</sub>. Upon heating, the CO<sub>2</sub> is released for storage, and the ILs re-solidify and donate some of the heat generated in the process to facilitate further CO<sub>2</sub> release. These new ILs can reduce the energy required to capture CO<sub>2</sub> from the exhaust stream of a coal-fired power plant when compared to state-of-the-art technology.

",2013-12-31,IMPACCT,ALUMNI,?q=slick-sheet-project/phase-changing-ionic-liquids,2010-07-01,Indiana,Phase-Changing Ionic Liquids,Resource Efficiency, ,2559562,0.0,Non-profit,Pivot,Persist,"Tested different ionic liquids, moved to encapsulated system",
70,University of Notre Dame,"The University of Notre Dame is developing an air-conditioning system with a new ionic liquid and CO<sub>2</sub> as the working fluid. Synthetic refrigerants used in air conditioning and refrigeration systems are potent GHGs and can trap 1,000 times more heat in the atmosphere than CO<sub>2</sub> alone--making CO<sub>2</sub> an attractive alternative for synthetic refrigerants in cooling systems. However, operating cooling systems with pure CO<sub>2</sub> requires prohibitively high pressures and expensive hardware. Notre Dame is creating a new fluid made of CO<sub>2</sub> and ionic liquid that enables the use of CO<sub>2</sub> at low pressures and requires minimal changes to existing hardware and production lines. This new fluid also produces no harmful emissions and can improve the efficiency of air conditioning systems--enabling new use of CO<sub>2</sub> as a refrigerant in cooling systems.
",2013-09-30,BEETIT,ALUMNI,?q=slick-sheet-project/carbon-dioxide-and-ionic-liquid-refrigerants,2010-10-01,Indiana,Carbon Dioxide and Ionic Liquid Refrigerants,Building Efficiency, ,2601715,0.0,Non-profit,Pivot,Persist,searching for better cofluids,looked at applications other than refrigerants
71,University of Texas at Austin (UT Austin),"The University of Texas at Austin (UT Austin) is developing low-cost coatings that control how light enters buildings through windows. By individually blocking infrared and visible components of sunlight, UT Austin's design would allow building occupants to better control the amount of heat and the brightness of light that enters the structure, saving heating, cooling, and lighting costs. These coatings can be applied to windows using inexpensive techniques similar to spray-painting a car to keep the cost per window low. Windows incorporating these coatings and a simple control system have the potential to dramatically enhance energy efficiency and reduce energy consumption throughout the commercial and residential building sectors, while making building occupants more comfortable.

",2016-09-26,OPEN 2012,ALUMNI,?q=slick-sheet-project/smart-window-coatings,2013-03-28,Texas,Smart Window Coatings,Building Efficiency, ,2986145,1.0,Non-profit,Pivot,Persist,,
72,University of Texas at Dallas (UT Dallas),"University of Texas at Dallas (UT Dallas) is developing a unique electric motor with the potential to efficiently power future classes of EVs and renewable power generators. Unlike many of today's best electric motors--which contain permanent magnets that use expensive, imported rare earths--UT Dallas' motor completely eliminates the use of rare earth materials. Additionally, the motor contains two stators. The stator is the stationary part of the motor that uses electromagnetism to help its rotor spin and generate power. The double-stator design has the potential to generate very high power densities at substantially lower cost than existing motors. In addition, this design can operate under higher temperatures and in more rugged environments. This project will focus on manufacturing and testing of a 100 kW motor with emphasis on low cost manufacturing for future use in EVs and renewable power generators.
",2015-02-15,REACT,ALUMNI,?q=slick-sheet-project/double-stator-motor-design,2012-06-07,Texas,Double-Stator Motor Design,Resource Efficiency, ,2848278,0.0,Non-profit,Pivot,Persist,Efficiency seems low (in patent) but still churning out papers,
73,University of Washington (UW),"The University of Washington (UW) and the University of Michigan are developing an integrated system to match well-positioned energy storage facilities with precise control technologies so the electric grid can more easily include energy from renewable power sources like wind and solar. Because renewable energy sources provide intermittent power, it is difficult for the grid to efficiently allocate those resources without developing solutions to store their energy for later use. The two universities are working with utilities, regulators, and the private sector to position renewable energy storage facilities in locations that optimize their ability to provide and transmit electricity where and when it is needed most. Expanding the network of transmission lines is prohibitively expensive, so combining well-placed storage facilities with robust control systems to efficiently route their power will save consumers money and enable the widespread use of safe, renewable sources of power.
",2015-10-14,GENI,ALUMNI,?q=slick-sheet-project/renewable-energy-positioning-system,2012-03-01,Washington,Renewable Energy Positioning System,Grid, ,1423330,0.0,Non-profit,Pivot,Persist,"research-based, pivoted",
74,Virginia Commonwealth University (VCU),"Virginia Commonwealth University (VCU) is developing a new magnet for use in renewable power generators and EV motors that requires no rare earth minerals. Rare earths are difficult and expensive to process, but they make electric motors and generators smaller, lighter, and more efficient. VCU would replace the rare earth minerals in EV motor magnets with a low-cost and abundant carbon-based compound that resembles a fine black powder. This new magnet could demonstrate the same level of performance as the best commercial magnets available today at a significantly lower cost. The ultimate goal of this project is to demonstrate this new magnet in a prototype electric motor.
",2013-12-31,REACT,ALUMNI,?q=slick-sheet-project/carbon-based-magnets,2012-01-01,Virginia,Carbon-Based Magnets,Resource Efficiency, ,2171337,0.0,Non-profit,Perish,Persist,Do consulting/materials development,although website news not updated since 2015
75,Yale University,"Yale University is developing a system to generate electricity using low-temperature waste heat from power plants, industrial facilities, and geothermal wells. Low-temperature waste heat is a vast, mostly untapped potential energy source. Yale's closed loop system begins with waste heat as an input. This waste heat will separate an input salt water stream into two output streams, one with high salt concentration and one with low salt concentration. In the next stage, the high and low concentration salt streams will be recombined. Mixing these streams releases energy which can then be captured. The mixed saltwater stream is then sent back to the waste heat source, allowing the process to begin again. Yale's system for generating electricity from low-temperature waste heat could considerably increase the efficiency of power generation systems.
",2015-12-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/closed-loop-system-using-waste-heat-electricity,2013-04-24,Connecticut,Closed-Loop System Using Waste Heat for Electricity,Resource Efficiency, ,2002618,1.0,Non-profit,Perish,Persist,,tech not currently meeting specs
76,Material Methods,"Material Methods is developing a heat pump technology that substitutes the use of sound waves and an environmentally benign refrigerant for synthetic refrigerants found in conventional heat pumps. Called a thermoacoustic heat pump, the technology is based on the fact that the pressure oscillations in a sound wave result in temperature changes. Areas of higher pressure raise temperatures and areas of low pressure decrease temperatures. By carefully arranging a series of heat exchangers in a sound field, the heat pump is able to isolate the hot and cold regions of the sound waves. This technology is environmentally safe, and the simplicity of the mechanical system creates efficiencies that make the system cost competitive with traditional refrigerant-based systems.
",2011-09-21,BEETIT,CANCELLED,?q=slick-sheet-project/sound-wave-refrigerants,2010-09-15,California,Sound Wave Refrigerants,Building Efficiency, ,200962,0.0,For-profit,Perish,Persist,,https://www.phononic.com/
77,Silicon Power,"Silicon Power is developing a semiconducting device that switches high-power and high-voltage electricity using optical signals as triggers for the switches, instead of conventional signals carried through wires. A switch helps control electricity, converting it from one voltage or current to another. High-power systems generally require multiple switches to convert energy into electricity that can be transmitted through the grid. These multi-level switch configurations use many switches which may be costly and inefficient. Additionally, most switching mechanisms use silicon, which cannot handle the high switching frequencies or voltages that high-power systems demand. Silicon Power is using light to trigger its switching mechanisms, which could greatly simplify the overall power conversion process. Additionally, Silicon Power's switching device is made of silicon carbide instead of straight silicon, which is more efficient and allows it to handle higher frequencies and voltages.
",2015-08-10,OPEN 2012,CANCELLED,?q=slick-sheet-project/optical-switches-high-power-systems,2013-05-15,Pennsylvania,Optical Switches for High-Power Systems,Grid, ,2015727,1.0,For-profit,Perish,Persist,"bought original company, not offering product specified",
78,Stanford University,"Stanford University will develop transformative methods for integrating photonic, or radiant energy structures into textiles. Controlling the thermal photonic properties of textiles can significantly influence the heat dissipation rate of the human body, which loses a significant amount of heat through thermal radiation. To achieve heating, the team utilizes metallic nanowire embedded in textiles to enhance reflection of body heat. To achieve cooling, the team utilizes visibly opaque yet infrared transmissivity (IR) transparent textile. These techniques for heating and cooling have not yet been achieved to date. The team will leverage advances in photonic structures to build textiles with varying amounts of infrared transparency and reflectivity to enable a wearer to achieve comfort in a wider temperature range, and therefore generate a substantial reduction of energy consumption for both heating and cooling.
",2017-09-30,DELTA,CANCELLED,?q=slick-sheet-project/photonic-structure-textiles,2015-04-30,California,Photonic Structure Textiles,Building Efficiency, ,1718025,0.0,Non-profit,Pivot,Persist,,
79,TDA Research,"TDA Research will develop a water recovery system that extracts and condenses 64% of the water vapor produced by the gas turbine in a natural gas combined cycle's (NGCC) power plant and stores this water for use in evaporative cooling. The system will provide supplemental cooling to NGCC power plants in which the combustion process - burning the natural gas to produce heat - produces a significant quantity of water vapor that is typically discharged to the atmosphere. First, a direct-contact condensation cycle will recover 27% of water vapor from the flue gas. To increase the amount of water recovered, a desiccant, which is a substance that attracts water, will be used to absorb an additional 37% of the water vapor. TDA's desiccant cycle utilizes the waste heat in the exhaust to regenerate the desiccant for reuse. This water recovery cycle would occur during cooler months when the water from combustion is easier to capture. Much of the water collected during this period will then be stored in an adjacent lake and saved for use during hotter summer months when evaporative cooling offers the maximum benefit to improve power plant efficiency. The project team estimates that its technology can reduce the performance penalty of a dry-cooling system by 30% compared to wet cooling. Moreover, the team is designing the system to use low-cost materials, which reduces capital costs.

",2016-08-05,ARID,CANCELLED,?q=slick-sheet-project/water-recovery-cooling-0,2015-08-06,Colorado,Water Recovery for Cooling,Resource Efficiency, ,629520,0.0,For-profit,Perish,Persist,"one patent, no? publications",http://tda.com/emerging-technologies-2/
80,University of Kentucky,"The University of Kentucky is developing a hybrid approach to capturing CO<sub>2</sub> from the exhaust gas of coal-fired power plants. In the first, CO<sub>2</sub> is removed as flue gas is passed through an aqueous ammonium-based solvent. In the second, carbon-rich solution from the CO<sub>2</sub> absorber is passed through a membrane that is designed to selectively transport the bound carbon, enhancing its concentration on the permeate side. The team's approach would combine the best of both membrane- and solvent-based carbon capture technologies. Under the ARPA-E award, the team is enabling the membrane operation to be a drop-in solution.
",2013-04-18,IMPACCT,CANCELLED,?q=slick-sheet-project/hybrid-solvent-membrane-co2-capture,2010-07-01,Kentucky,Hybrid Solvent-Membrane CO2 Capture,Resource Efficiency, ,1516908,0.0,Non-profit,Pivot,Persist,,
81,University of Maryland (UMD),"The University of Maryland (UMD) and its partners will utilize a novel microemulsion absorbent, recently developed by UMD researchers, for use in an absorption cooling system that can provide supplemental dry cooling for power plants. These unique absorbents require much less heat to drive the process than conventional absorption materials. To remove heat and cool condenser water, microemulsion absorbents take in water vapor (refrigerant) and release the water as liquid during desorption without vaporization or boiling. UMD's technology will use waste heat from the power plant's flue gas to drive the cooling system, eliminating the need for an additional power source. The design will improve upon the efficiency of commercially available chillers by 300%, even though the cost and size of UMD's technology is smaller. The indirect, absorption cooling system will lower condenser water temperatures to below the ambient temperature, which will ensure the efficiency of power plant electricity production.
",2018-08-13,ARID,CANCELLED,?q=slick-sheet-project/advanced-absorption-cooling,2015-09-01,Marylan,Advanced Absorption Cooling,Resource Efficiency, ,1934587,0.0,Non-profit,Perish,Persist,"one patent, no? publications",
